time_ns,mean_xy_msd_nm2,sem_xy_msd_nm2
1.000000000000000000e+00,1.121239885687828064e-01,7.575640454888343811e-03
2.000000000000000000e+00,1.672171205282211304e-01,9.905517101287841797e-03
3.000000000000000000e+00,2.133883684873580933e-01,1.148179080337285995e-02
4.000000000000000000e+00,2.511185407638549805e-01,1.266666036099195480e-02
5.000000000000000000e+00,2.890905737876892090e-01,1.364615187048912048e-02
6.000000000000000000e+00,3.259135186672210693e-01,1.472255215048789978e-02
7.000000000000000000e+00,3.640232682228088379e-01,1.622419990599155426e-02
8.000000000000000000e+00,3.975781798362731934e-01,1.713914424180984497e-02
9.000000000000000000e+00,4.307812750339508057e-01,1.853395812213420868e-02
1.000000000000000000e+01,4.629268944263458252e-01,1.965768821537494659e-02
1.100000000000000000e+01,4.901168048381805420e-01,2.033127285540103912e-02
1.200000000000000000e+01,5.204890370368957520e-01,2.146632410585880280e-02
1.300000000000000000e+01,5.488300323486328125e-01,2.253376506268978119e-02
1.400000000000000000e+01,5.732880830764770508e-01,2.321616560220718384e-02
1.500000000000000000e+01,5.988255739212036133e-01,2.383586391806602478e-02
1.600000000000000000e+01,6.232577562332153320e-01,2.459790557622909546e-02
1.700000000000000000e+01,6.513545513153076172e-01,2.583810500800609589e-02
1.800000000000000000e+01,6.759137511253356934e-01,2.657564915716648102e-02
1.900000000000000000e+01,6.970748901367187500e-01,2.704067528247833252e-02
2.000000000000000000e+01,7.178529500961303711e-01,2.750194258987903595e-02
2.100000000000000000e+01,7.387182116508483887e-01,2.812590077519416809e-02
2.200000000000000000e+01,7.645511627197265625e-01,2.916485443711280823e-02
2.300000000000000000e+01,7.864261865615844727e-01,2.981870248913764954e-02
2.400000000000000000e+01,8.093888759613037109e-01,3.058314695954322815e-02
2.500000000000000000e+01,8.307800889015197754e-01,3.120241686701774597e-02
2.600000000000000000e+01,8.504243493080139160e-01,3.169793263077735901e-02
2.700000000000000000e+01,8.710786700248718262e-01,3.233076259493827820e-02
