time_ns,mean_xy_msd_nm2,sem_xy_msd_nm2
1.000000000000000000e+00,3.646951541304588318e-02,1.434093457646667957e-03
2.000000000000000000e+00,6.701483577489852905e-02,2.728789113461971283e-03
3.000000000000000000e+00,9.576658159494400024e-02,3.968910779803991318e-03
4.000000000000000000e+00,1.235298514366149902e-01,5.179100669920444489e-03
5.000000000000000000e+00,1.503829061985015869e-01,6.364629138261079788e-03
6.000000000000000000e+00,1.766031682491302490e-01,7.528509013354778290e-03
7.000000000000000000e+00,2.023317664861679077e-01,8.683269843459129333e-03
8.000000000000000000e+00,2.277985960245132446e-01,9.828310459852218628e-03
9.000000000000000000e+00,2.530683875083923340e-01,1.097348891198635101e-02
1.000000000000000000e+01,2.780695557594299316e-01,1.210822910070419312e-02
1.100000000000000000e+01,3.029005229473114014e-01,1.323466654866933823e-02
1.200000000000000000e+01,3.275515437126159668e-01,1.435101404786109924e-02
1.300000000000000000e+01,3.518205285072326660e-01,1.544775068759918213e-02
1.400000000000000000e+01,3.759414255619049072e-01,1.653859019279479980e-02
1.500000000000000000e+01,3.997668325901031494e-01,1.762754842638969421e-02
1.600000000000000000e+01,4.236561655998229980e-01,1.871553622186183929e-02
1.700000000000000000e+01,4.472823143005371094e-01,1.978850923478603363e-02
1.800000000000000000e+01,4.708082079887390137e-01,2.085661329329013824e-02
1.900000000000000000e+01,4.943873584270477295e-01,2.192046120762825012e-02
2.000000000000000000e+01,5.177564024925231934e-01,2.297032438218593597e-02
2.100000000000000000e+01,5.407656431198120117e-01,2.401664853096008301e-02
2.200000000000000000e+01,5.635704398155212402e-01,2.505415864288806915e-02
2.300000000000000000e+01,5.861420035362243652e-01,2.608497254550457001e-02
2.400000000000000000e+01,6.084731221199035645e-01,2.710564993321895599e-02
2.500000000000000000e+01,6.305533051490783691e-01,2.811795286834239960e-02
2.600000000000000000e+01,6.525134444236755371e-01,2.912086807191371918e-02
2.700000000000000000e+01,6.746301054954528809e-01,3.013484552502632141e-02
2.800000000000000000e+01,6.967833042144775391e-01,3.113920055329799652e-02
2.900000000000000000e+01,7.187957763671875000e-01,3.214344382286071777e-02
3.000000000000000000e+01,7.405976057052612305e-01,3.313700482249259949e-02
3.100000000000000000e+01,7.623643279075622559e-01,3.412110731005668640e-02
3.200000000000000000e+01,7.843475341796875000e-01,3.512363508343696594e-02
3.300000000000000000e+01,8.062446713447570801e-01,3.611436486244201660e-02
3.400000000000000000e+01,8.278373479843139648e-01,3.709670156240463257e-02
3.500000000000000000e+01,8.494927883148193359e-01,3.808647394180297852e-02
3.600000000000000000e+01,8.710687756538391113e-01,3.907912224531173706e-02
3.700000000000000000e+01,8.926746249198913574e-01,4.007888212800025940e-02
3.800000000000000000e+01,9.141876697540283203e-01,4.107121005654335022e-02
3.900000000000000000e+01,9.356380701065063477e-01,4.206505790352821350e-02
4.000000000000000000e+01,9.567617774009704590e-01,4.303964972496032715e-02
4.100000000000000000e+01,9.779391288757324219e-01,4.400214552879333496e-02
4.200000000000000000e+01,9.988600611686706543e-01,4.495253041386604309e-02
4.300000000000000000e+01,1.019605636596679688e+00,4.589696228504180908e-02
4.400000000000000000e+01,1.040282368659973145e+00,4.683520272374153137e-02
4.500000000000000000e+01,1.060920596122741699e+00,4.776644706726074219e-02
4.600000000000000000e+01,1.081363439559936523e+00,4.868646338582038879e-02
4.700000000000000000e+01,1.102026224136352539e+00,4.962064325809478760e-02
4.800000000000000000e+01,1.122716307640075684e+00,5.056074261665344238e-02
4.900000000000000000e+01,1.143342614173889160e+00,5.149622261524200439e-02
5.000000000000000000e+01,1.163640975952148438e+00,5.241131037473678589e-02
5.100000000000000000e+01,1.183909535408020020e+00,5.333251506090164185e-02
5.200000000000000000e+01,1.204158902168273926e+00,5.426290258765220642e-02
5.300000000000000000e+01,1.224374651908874512e+00,5.518825352191925049e-02
5.400000000000000000e+01,1.244412779808044434e+00,5.611617863178253174e-02
5.500000000000000000e+01,1.264437794685363770e+00,5.703832581639289856e-02
5.600000000000000000e+01,1.284408807754516602e+00,5.795739963650703430e-02
5.700000000000000000e+01,1.304534077644348145e+00,5.888739600777626038e-02
5.800000000000000000e+01,1.324762821197509766e+00,5.981805548071861267e-02
5.900000000000000000e+01,1.344989895820617676e+00,6.074956804513931274e-02
6.000000000000000000e+01,1.365228652954101562e+00,6.168514862656593323e-02
6.100000000000000000e+01,1.385227918624877930e+00,6.260689347982406616e-02
6.200000000000000000e+01,1.405201911926269531e+00,6.352414190769195557e-02
6.300000000000000000e+01,1.424835801124572754e+00,6.442791968584060669e-02
6.400000000000000000e+01,1.444370746612548828e+00,6.532568484544754028e-02
6.500000000000000000e+01,1.463902831077575684e+00,6.622758507728576660e-02
6.600000000000000000e+01,1.483423948287963867e+00,6.712832301855087280e-02
6.700000000000000000e+01,1.502845525741577148e+00,6.802425533533096313e-02
6.800000000000000000e+01,1.522016763687133789e+00,6.890797615051269531e-02
6.900000000000000000e+01,1.541097879409790039e+00,6.979339569807052612e-02
7.000000000000000000e+01,1.560221076011657715e+00,7.067640125751495361e-02
7.100000000000000000e+01,1.579430818557739258e+00,7.157051563262939453e-02
7.200000000000000000e+01,1.598716616630554199e+00,7.247348874807357788e-02
7.300000000000000000e+01,1.618049621582031250e+00,7.337608933448791504e-02
7.400000000000000000e+01,1.637556314468383789e+00,7.429578155279159546e-02
7.500000000000000000e+01,1.656939029693603516e+00,7.520651072263717651e-02
7.600000000000000000e+01,1.675895094871520996e+00,7.611431926488876343e-02
7.700000000000000000e+01,1.695099234580993652e+00,7.703134417533874512e-02
7.800000000000000000e+01,1.714226245880126953e+00,7.794670760631561279e-02
7.900000000000000000e+01,1.733169674873352051e+00,7.884468883275985718e-02
8.000000000000000000e+01,1.752046227455139160e+00,7.974386215209960938e-02
8.100000000000000000e+01,1.771047234535217285e+00,8.064336329698562622e-02
8.200000000000000000e+01,1.790084719657897949e+00,8.156348764896392822e-02
8.300000000000000000e+01,1.808911085128784180e+00,8.247321099042892456e-02
8.400000000000000000e+01,1.828051328659057617e+00,8.339072763919830322e-02
