time_ns,mean_xy_msd_nm2,sem_xy_msd_nm2
1.000000000000000000e+00,5.996280163526535034e-02,1.690243952907621861e-03
2.000000000000000000e+00,1.041164621710777283e-01,2.952624810859560966e-03
3.000000000000000000e+00,1.445185244083404541e-01,4.144947044551372528e-03
4.000000000000000000e+00,1.823460310697555542e-01,5.309033673256635666e-03
5.000000000000000000e+00,2.189259231090545654e-01,6.447370629757642746e-03
6.000000000000000000e+00,2.536230683326721191e-01,7.529196329414844513e-03
7.000000000000000000e+00,2.871672213077545166e-01,8.581878617405891418e-03
8.000000000000000000e+00,3.194614350795745850e-01,9.620496071875095367e-03
9.000000000000000000e+00,3.514179289340972900e-01,1.063878368586301804e-02
1.000000000000000000e+01,3.823102414608001709e-01,1.163751166313886642e-02
1.100000000000000000e+01,4.121087491512298584e-01,1.261939946562051773e-02
1.200000000000000000e+01,4.417854547500610352e-01,1.360136922448873520e-02
1.300000000000000000e+01,4.709107577800750732e-01,1.454576104879379272e-02
1.400000000000000000e+01,4.990813136100769043e-01,1.548293977975845337e-02
1.500000000000000000e+01,5.270068049430847168e-01,1.641043089330196381e-02
1.600000000000000000e+01,5.550363659858703613e-01,1.734749600291252136e-02
1.700000000000000000e+01,5.819670557975769043e-01,1.825561374425888062e-02
1.800000000000000000e+01,6.086122989654541016e-01,1.915543526411056519e-02
1.900000000000000000e+01,6.350620388984680176e-01,2.005126886069774628e-02
2.000000000000000000e+01,6.610713005065917969e-01,2.092952840030193329e-02
2.100000000000000000e+01,6.867464780807495117e-01,2.181112952530384064e-02
2.200000000000000000e+01,7.123747467994689941e-01,2.269485965371131897e-02
2.300000000000000000e+01,7.375849485397338867e-01,2.357052825391292572e-02
2.400000000000000000e+01,7.625598311424255371e-01,2.445663884282112122e-02
2.500000000000000000e+01,7.868995070457458496e-01,2.531069889664649963e-02
2.600000000000000000e+01,8.110756874084472656e-01,2.615171298384666443e-02
2.700000000000000000e+01,8.356285095214843750e-01,2.699573338031768799e-02
2.800000000000000000e+01,8.593853712081909180e-01,2.782952971756458282e-02
2.900000000000000000e+01,8.827140927314758301e-01,2.864711917936801910e-02
3.000000000000000000e+01,9.060994982719421387e-01,2.947630174458026886e-02
3.100000000000000000e+01,9.298335909843444824e-01,3.031168319284915924e-02
3.200000000000000000e+01,9.530054926872253418e-01,3.114388883113861084e-02
3.300000000000000000e+01,9.759605526924133301e-01,3.196067735552787781e-02
3.400000000000000000e+01,9.990693330764770508e-01,3.277035057544708252e-02
3.500000000000000000e+01,1.021737575531005859e+00,3.356623649597167969e-02
3.600000000000000000e+01,1.044280290603637695e+00,3.437785431742668152e-02
3.700000000000000000e+01,1.066743850708007812e+00,3.520057350397109985e-02
3.800000000000000000e+01,1.089104294776916504e+00,3.601464256644248962e-02
3.900000000000000000e+01,1.111371278762817383e+00,3.681691735982894897e-02
4.000000000000000000e+01,1.133979439735412598e+00,3.761931136250495911e-02
4.100000000000000000e+01,1.156166076660156250e+00,3.843149170279502869e-02
4.200000000000000000e+01,1.178523421287536621e+00,3.924084827303886414e-02
4.300000000000000000e+01,1.200968503952026367e+00,4.005257040262222290e-02
4.400000000000000000e+01,1.223408699035644531e+00,4.087907075881958008e-02
4.500000000000000000e+01,1.245216846466064453e+00,4.169164597988128662e-02
4.600000000000000000e+01,1.267893314361572266e+00,4.253254458308219910e-02
4.700000000000000000e+01,1.290125966072082520e+00,4.337845370173454285e-02
4.800000000000000000e+01,1.312109351158142090e+00,4.420383647084236145e-02
4.900000000000000000e+01,1.334074616432189941e+00,4.502543434500694275e-02
5.000000000000000000e+01,1.355673789978027344e+00,4.583081975579261780e-02
5.100000000000000000e+01,1.377031445503234863e+00,4.662015289068222046e-02
