time_ns,mean_xy_msd_nm2,sem_xy_msd_nm2
1.000000000000000000e+00,7.053975015878677368e-02,1.720932777971029282e-03
2.000000000000000000e+00,1.320638358592987061e-01,3.319590585306286812e-03
3.000000000000000000e+00,1.898890137672424316e-01,4.836570471525192261e-03
4.000000000000000000e+00,2.453959137201309204e-01,6.321763619780540466e-03
5.000000000000000000e+00,2.993087172508239746e-01,7.772014942020177841e-03
6.000000000000000000e+00,3.520458936691284180e-01,9.208439849317073822e-03
7.000000000000000000e+00,4.034678936004638672e-01,1.061651948839426041e-02
8.000000000000000000e+00,4.539174437522888184e-01,1.201107259839773178e-02
9.000000000000000000e+00,5.037468671798706055e-01,1.340563502162694931e-02
1.000000000000000000e+01,5.524523854255676270e-01,1.478059962391853333e-02
1.100000000000000000e+01,6.005436778068542480e-01,1.615622267127037048e-02
1.200000000000000000e+01,6.478894352912902832e-01,1.751692779362201691e-02
1.300000000000000000e+01,6.945348381996154785e-01,1.885976083576679230e-02
1.400000000000000000e+01,7.410788536071777344e-01,2.021301165223121643e-02
1.500000000000000000e+01,7.873713374137878418e-01,2.155619487166404724e-02
1.600000000000000000e+01,8.331854343414306641e-01,2.288982830941677094e-02
1.700000000000000000e+01,8.784826397895812988e-01,2.420597709715366364e-02
1.800000000000000000e+01,9.235128760337829590e-01,2.552092634141445160e-02
1.900000000000000000e+01,9.680637717247009277e-01,2.681729756295681000e-02
2.000000000000000000e+01,1.012186646461486816e+00,2.812228538095951080e-02
2.100000000000000000e+01,1.055743813514709473e+00,2.941183932125568390e-02
2.200000000000000000e+01,1.098839163780212402e+00,3.069571219384670258e-02
2.300000000000000000e+01,1.141452670097351074e+00,3.197282180190086365e-02
2.400000000000000000e+01,1.183836102485656738e+00,3.324236720800399780e-02
2.500000000000000000e+01,1.225662946701049805e+00,3.448932617902755737e-02
2.600000000000000000e+01,1.266756176948547363e+00,3.571039065718650818e-02
2.700000000000000000e+01,1.307367920875549316e+00,3.693349286913871765e-02
2.800000000000000000e+01,1.347786903381347656e+00,3.816048800945281982e-02
2.900000000000000000e+01,1.388070344924926758e+00,3.937988355755805969e-02
3.000000000000000000e+01,1.427945971488952637e+00,4.058601334691047668e-02
3.100000000000000000e+01,1.467689037322998047e+00,4.178528860211372375e-02
3.200000000000000000e+01,1.507362365722656250e+00,4.298422113060951233e-02
3.300000000000000000e+01,1.546840667724609375e+00,4.417666420340538025e-02
3.400000000000000000e+01,1.585929870605468750e+00,4.534645006060600281e-02
3.500000000000000000e+01,1.624657511711120605e+00,4.649761691689491272e-02
3.600000000000000000e+01,1.663180112838745117e+00,4.764970764517784119e-02
3.700000000000000000e+01,1.701282143592834473e+00,4.879081621766090393e-02
3.800000000000000000e+01,1.739112496376037598e+00,4.993666335940361023e-02
3.900000000000000000e+01,1.777014255523681641e+00,5.108558386564254761e-02
4.000000000000000000e+01,1.814616322517395020e+00,5.222807824611663818e-02
4.100000000000000000e+01,1.852030992507934570e+00,5.336237326264381409e-02
4.200000000000000000e+01,1.889044880867004395e+00,5.448982492089271545e-02
4.300000000000000000e+01,1.925608873367309570e+00,5.560063198208808899e-02
4.400000000000000000e+01,1.961656928062438965e+00,5.669984593987464905e-02
4.500000000000000000e+01,1.997373938560485840e+00,5.778940021991729736e-02
4.600000000000000000e+01,2.032787322998046875e+00,5.887582153081893921e-02
4.700000000000000000e+01,2.068152904510498047e+00,5.996529385447502136e-02
4.800000000000000000e+01,2.103307723999023438e+00,6.106222420930862427e-02
4.900000000000000000e+01,2.138165235519409180e+00,6.213944405317306519e-02
5.000000000000000000e+01,2.172516584396362305e+00,6.321834772825241089e-02
5.100000000000000000e+01,2.206736564636230469e+00,6.428550928831100464e-02
5.200000000000000000e+01,2.240569829940795898e+00,6.533914059400558472e-02
5.300000000000000000e+01,2.274533033370971680e+00,6.641142815351486206e-02
5.400000000000000000e+01,2.308300018310546875e+00,6.747718900442123413e-02
5.500000000000000000e+01,2.341711282730102539e+00,6.852922588586807251e-02
5.600000000000000000e+01,2.374604463577270508e+00,6.956922262907028198e-02
5.700000000000000000e+01,2.407710075378417969e+00,7.060791552066802979e-02
5.800000000000000000e+01,2.440645694732666016e+00,7.163073867559432983e-02
5.900000000000000000e+01,2.473259210586547852e+00,7.265456020832061768e-02
6.000000000000000000e+01,2.505471229553222656e+00,7.367398589849472046e-02
6.100000000000000000e+01,2.537630319595336914e+00,7.469324767589569092e-02
6.200000000000000000e+01,2.569598197937011719e+00,7.570581138134002686e-02
6.300000000000000000e+01,2.601425170898437500e+00,7.669714093208312988e-02
6.400000000000000000e+01,2.633126497268676758e+00,7.767903059720993042e-02
6.500000000000000000e+01,2.664633750915527344e+00,7.867261767387390137e-02
6.600000000000000000e+01,2.696289539337158203e+00,7.968578487634658813e-02
6.700000000000000000e+01,2.728322029113769531e+00,8.070446550846099854e-02
6.800000000000000000e+01,2.760254859924316406e+00,8.173240721225738525e-02
6.900000000000000000e+01,2.791961431503295898e+00,8.276316523551940918e-02
7.000000000000000000e+01,2.823689699172973633e+00,8.378610014915466309e-02
7.100000000000000000e+01,2.855300188064575195e+00,8.480044454336166382e-02
7.200000000000000000e+01,2.887092590332031250e+00,8.583188802003860474e-02
7.300000000000000000e+01,2.918657302856445312e+00,8.687040209770202637e-02
7.400000000000000000e+01,2.950216054916381836e+00,8.789427578449249268e-02
7.500000000000000000e+01,2.981356620788574219e+00,8.890420198440551758e-02
7.600000000000000000e+01,3.012409925460815430e+00,8.992432057857513428e-02
7.700000000000000000e+01,3.043202161788940430e+00,9.093874692916870117e-02
7.800000000000000000e+01,3.073848247528076172e+00,9.194913506507873535e-02
7.900000000000000000e+01,3.104557275772094727e+00,9.297110885381698608e-02
8.000000000000000000e+01,3.135410308837890625e+00,9.398455917835235596e-02
8.100000000000000000e+01,3.166167974472045898e+00,9.500962495803833008e-02
8.200000000000000000e+01,3.196899414062500000e+00,9.602048248052597046e-02
8.300000000000000000e+01,3.227550983428955078e+00,9.703735262155532837e-02
8.400000000000000000e+01,3.258449316024780273e+00,9.805762767791748047e-02
8.500000000000000000e+01,3.289249897003173828e+00,9.907568246126174927e-02
8.600000000000000000e+01,3.319958686828613281e+00,1.001037806272506714e-01
8.700000000000000000e+01,3.350822687149047852e+00,1.011453717947006226e-01
8.800000000000000000e+01,3.381525754928588867e+00,1.021889001131057739e-01
8.900000000000000000e+01,3.412235021591186523e+00,1.032299920916557312e-01
9.000000000000000000e+01,3.442691087722778320e+00,1.042620316147804260e-01
9.100000000000000000e+01,3.473445653915405273e+00,1.053001135587692261e-01
9.200000000000000000e+01,3.503863334655761719e+00,1.063155531883239746e-01
9.300000000000000000e+01,3.534011840820312500e+00,1.073257103562355042e-01
9.400000000000000000e+01,3.564132213592529297e+00,1.083412021398544312e-01
9.500000000000000000e+01,3.594402074813842773e+00,1.093661934137344360e-01
9.600000000000000000e+01,3.624346971511840820e+00,1.103773340582847595e-01
9.700000000000000000e+01,3.653855562210083008e+00,1.113888919353485107e-01
9.800000000000000000e+01,3.683250427246093750e+00,1.123985648155212402e-01
9.900000000000000000e+01,3.712584972381591797e+00,1.134087815880775452e-01
1.000000000000000000e+02,3.741953134536743164e+00,1.144144013524055481e-01
1.010000000000000000e+02,3.771024227142333984e+00,1.154145896434783936e-01
1.020000000000000000e+02,3.800224542617797852e+00,1.164240315556526184e-01
1.030000000000000000e+02,3.829495906829833984e+00,1.174250021576881409e-01
1.040000000000000000e+02,3.858599662780761719e+00,1.184210330247879028e-01
1.050000000000000000e+02,3.887878894805908203e+00,1.194365844130516052e-01
1.060000000000000000e+02,3.917188405990600586e+00,1.204606443643569946e-01
1.070000000000000000e+02,3.946366310119628906e+00,1.214839741587638855e-01
1.080000000000000000e+02,3.975565671920776367e+00,1.225081235170364380e-01
1.090000000000000000e+02,4.004789829254150391e+00,1.235331371426582336e-01
1.100000000000000000e+02,4.034096240997314453e+00,1.245556101202964783e-01
1.110000000000000000e+02,4.063020706176757812e+00,1.255651861429214478e-01
1.120000000000000000e+02,4.091563224792480469e+00,1.265637129545211792e-01
1.130000000000000000e+02,4.120296478271484375e+00,1.275786608457565308e-01
