group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,30377.989242811684,30.377989242811683,1501.5008255440298,1.5015008255440299,1474.8436805661077,1.4748436805661076,1501.5008255440298,1.5015008255440299
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,44388.216523483046,44.388216523483045,2837.0569014999273,2.837056901499927,2999.297147822115,2.9992971478221153,2999.297147822115,2.9992971478221153
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,29140.852643174596,29.140852643174597,532.4930994704482,0.5324930994704482,503.27960073063514,0.5032796007306352,532.4930994704482,0.5324930994704482
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,35440.04907286532,35.440049072865314,2493.212203251649,2.493212203251649,2877.3106944408064,2.8773106944408062,2877.3106944408064,2.8773106944408062
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_antisymmetric_nac_bb,Any 3 antisymmetric BB contacts,1/e,True,1646.5721606145732,1.6465721606145733,71.51675421536606,0.07151675421536606,67.79209511730937,0.06779209511730937,71.51675421536606,0.07151675421536606
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_antisymmetric_nac_bb,Any 3 antisymmetric BB contacts,1/e,True,3465.6173420263203,3.4656173420263205,781.0759909284898,0.7810759909284898,1159.126242057081,1.1591262420570811,1159.126242057081,1.1591262420570811
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_antisymmetric_nac_bb,Any 3 antisymmetric BB contacts,1/e,True,1682.095437697551,1.682095437697551,225.43756422017532,0.22543756422017533,228.05571908290312,0.22805571908290312,228.05571908290312,0.22805571908290312
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_antisymmetric_nac_bb,Any 3 antisymmetric BB contacts,1/e,True,1737.2743730880816,1.7372743730880815,152.2216453029846,0.1522216453029846,135.77197435385506,0.13577197435385505,152.2216453029846,0.1522216453029846
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,antisymmetric_nac_bb,Any 1 antisymmetric BB contact,1/e,True,2838.858403672083,2.838858403672083,98.61709528859683,0.09861709528859683,99.8080839856716,0.0998080839856716,99.8080839856716,0.0998080839856716
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,antisymmetric_nac_bb,Any 1 antisymmetric BB contact,1/e,True,6649.209572548831,6.6492095725488305,820.7192670259064,0.8207192670259065,1027.7063616538935,1.0277063616538935,1027.7063616538935,1.0277063616538935
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,antisymmetric_nac_bb,Any 1 antisymmetric BB contact,1/e,True,2990.9326055838605,2.9909326055838608,170.34967940306342,0.17034967940306342,249.04808722370444,0.24904808722370445,249.04808722370444,0.24904808722370445
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,antisymmetric_nac_bb,Any 1 antisymmetric BB contact,1/e,True,3157.0982600503007,3.157098260050301,151.89320800035603,0.15189320800035602,143.61786292398983,0.14361786292398984,151.89320800035603,0.15189320800035602
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric BB contacts,1/e,True,1403.510590515158,1.403510590515158,71.07205629108284,0.07107205629108285,64.45170106226647,0.06445170106226647,71.07205629108284,0.07107205629108285
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric BB contacts,1/e,True,3024.4552245708082,3.0244552245708083,844.5798910210306,0.8445798910210306,1195.149828569065,1.195149828569065,1195.149828569065,1.195149828569065
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric BB contacts,1/e,True,1453.9067813625468,1.4539067813625468,179.35083142050667,0.17935083142050667,186.70152759856614,0.18670152759856615,186.70152759856614,0.18670152759856615
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric BB contacts,1/e,True,1492.9432277761098,1.4929432277761099,174.70831157849602,0.17470831157849603,143.77704705163387,0.14377704705163388,174.70831157849602,0.17470831157849603
