group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,1.0,1.2819751242557092e-16,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.40971626157228663,0.009052662125626526,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.30603417395364035,0.0039877770877138705,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.24721612593674278,0.006174259820154922,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.20273503016924144,0.005515868915073192,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.1783821349926363,0.0047675312797272554,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.15701991171926857,0.0018781636219864512,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.1417747985048142,0.00499779452794307,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.1266292050959951,0.003643132762278361,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.11145625124069325,0.0021650738407232198,1403.510590515158,10346.580126198749,0.00043476805312816835,0.8,8.0,100.0,96,140,3
