group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,290579,3722.267642358605,30.443070069453075,2000.0,1938.311850612394,7744.971443621988,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,233490,4766.383331849288,126.51522354209321,2000.0,2040.0497245832335,9277.895141190216,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,last_40,largest_cluster,185519,3801.0263068776317,65.78995463533295,2000.0,1953.6341559622501,7889.420923476633,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,211570,3930.3906562411153,32.87338614125262,2000.0,1995.8357869869246,8201.485120541105,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric C-ter BB,chain_pair,all,largest_cluster,8790,1766.0473503977773,26.5245035266968,1000.0,942.3527949358388,2894.0970370043265,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric C-ter BB,chain_pair,all,largest_cluster,7738,2087.447216334121,128.93651651452544,1000.0,989.6048148090011,3450.275266397947,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric C-ter BB,chain_pair,last_40,largest_cluster,5736,1783.298546649393,71.70784874265287,1000.0,948.6370666792401,2879.5763669358976,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric C-ter BB,chain_pair,all,largest_cluster,7183,1800.3085744496514,59.50338987778571,1000.0,954.1019827185738,2935.6037395524722,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric C-ter BB,chain_pair,all,largest_cluster,47540,2066.610434698278,16.487937537236807,1000.0,1107.5371821954382,3631.0339499731185,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric C-ter BB,chain_pair,all,largest_cluster,40800,2572.199259632295,56.90476650445055,1000.0,1300.7769299327165,4490.184078881924,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric C-ter BB,chain_pair,last_40,largest_cluster,30869,2121.997942749945,39.263442750579095,1000.0,1171.0503292735445,3778.0960139065783,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric C-ter BB,chain_pair,all,largest_cluster,37684,2137.2170690981716,22.805238684455297,1000.0,1148.692043135925,3781.708881816422,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,chain_pair,all,largest_cluster,8094,1698.6446755940462,25.627358238447396,1000.0,927.2350773970741,2716.9040381741656,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,chain_pair,all,largest_cluster,7136,2010.0578487461237,140.09642565464534,1000.0,964.735494216253,3240.9091664132343,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,chain_pair,last_40,largest_cluster,5288,1718.2926527808431,55.13229056371232,1000.0,936.0607617986512,2733.4362027663715,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric C-ter BB,chain_pair,all,largest_cluster,6578,1726.1743421093806,61.07990211665505,1000.0,934.3271744484756,2772.7679800554797,0.8,8.0,100.0,96,140,3
