group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,0.0,0.9999999999999999,1.1102230246251565e-16,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.4466410008714585,0.0027156508203435696,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.36335407355674226,0.004700204703674013,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.31471052268792754,0.0033724922333333096,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.28365837982725123,0.003612924848811961,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.2595127346769764,0.0020142233087541567,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.24267996098728636,0.004256922598403946,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.22666775067292136,0.004386082732440706,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.2145535179796452,0.005000879135488783,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.20366630790657325,0.005018588095165168,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,10000.0,0.19560271947474053,0.004358610565392558,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,11000.0,0.18764694620739067,0.004450667503054161,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,12000.0,0.18162363964542602,0.00418057349311001,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,13000.0,0.17580323239979467,0.006760499204166198,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,14000.0,0.1693161116956626,0.0052184122473401505,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,15000.0,0.16497924451896814,0.005457194414764569,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,16000.0,0.16126206812142307,0.00430192614896362,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,17000.0,0.15651124839687608,0.004785154876481512,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,18000.0,0.15358972886529512,0.003440363477627194,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,19000.0,0.15172467815106447,0.0032055730789553685,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,20000.0,0.14768567001340077,0.0029060615184276157,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,21000.0,0.14244798730118277,0.0023396594419052784,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,22000.0,0.14033769594522424,0.003386620624682197,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,23000.0,0.1383771334057472,0.0028196136562640547,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,24000.0,0.13468306240300634,0.002423570632514857,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,25000.0,0.13222055497758167,0.0023356803620301517,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,26000.0,0.1296521564810554,0.002761459577856325,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,27000.0,0.12747650485941187,0.00333621631928603,1945.665331155752,44706.29502969937,0.0037127107688344247,0.8,8.0,100.0,61,95,3
