group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,251022,3894.063906587245,78.99427880827646,2000.0,2142.1647761618083,7950.849241040267,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,63714,13050.970730353458,636.7838453979141,2000.0,2533.4458070413048,15782.905367331525,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,last_40,largest_cluster,151271,3996.440928325334,69.66891708869494,2000.0,2178.0390958125713,8129.080074872702,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,170533,4023.589922113839,41.328806956587776,2000.0,2221.2378724522505,8324.192534204136,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric NAC BB,chain_pair,all,largest_cluster,15534,1437.933751302685,5.87705111329691,1000.0,843.0316867211445,1955.3052504546317,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric NAC BB,chain_pair,all,largest_cluster,5764,3263.1571636248805,680.7665399513269,1000.0,1249.6842508979066,4719.597828449457,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric NAC BB,chain_pair,last_40,largest_cluster,9483,1491.4170221326037,20.17845720236492,1000.0,855.6416939666263,2078.1404003321572,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric NAC BB,chain_pair,all,largest_cluster,11024,1595.2001444251284,133.24380896942498,1000.0,863.7737358751001,1997.8792801614093,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,chain_pair,all,largest_cluster,63079,1858.2582666141855,12.081802140482207,1000.0,1029.147654230252,3056.4922411077478,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,chain_pair,all,largest_cluster,19968,7052.98641091508,294.9657016351514,2000.0,1934.4791075070375,9347.442116882818,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,chain_pair,last_40,largest_cluster,39289,1904.9947522239588,29.34900937713569,1000.0,1086.5658772971822,3213.9704310813545,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric NAC BB,chain_pair,all,largest_cluster,46013,1971.8422461006692,17.57050801001688,1000.0,1117.7497482891868,3315.2271734120404,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,14214,1378.8211285813495,9.316150795839762,1000.0,818.5749362116034,1865.3431864069853,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,1397,1936.7080177193766,347.1476182019402,1000.0,1015.7363239476479,3164.135409862022,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,last_40,largest_cluster,8762,1423.1873244545648,17.022490451620815,1000.0,828.0051049297781,1918.3770339859052,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,9971,1410.2102890579317,32.327323643808676,1000.0,833.8364376079271,1894.9537260912232,0.8,8.0,100.0,61,95,3
