group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,contact_mode,contact_label,event_unit,contact_cutoff_nm
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,75485,0.006418150701936609,823,3182.7373677685036,60903.605622163646,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,61895,0.006542157623561111,706,3081.2877118547112,57177.20662451239,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,68885,0.006654890066548901,782,3336.646497221872,64221.93492890684,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,29391,0.003106560379902813,107,92251.18270797297,601916.2388292875,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,38382,0.003708034993602089,110,212796.52391719443,1092771.032840535,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,36532,0.004045221170020318,122,118999.07383639185,831919.9074858683,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,40703,0.006840156320502403,378,3191.929123131792,62719.919310464735,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,33764,0.005674054443295167,376,2878.298186718409,59601.87531979081,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,32477,0.005788547704944301,365,2710.368385010148,50683.19010913557,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,42219,0.007995223204952231,359,3750.522126566676,69070.01420673217,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,58,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,0.8
