group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,2419762,0.07663984947719989,2907,73765.06911172945,852625.1147036483,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,1056459,0.03662806396198105,874,197933.06375976015,1151788.4786463664,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,1275623,0.0728438292664166,1442,65967.09686062664,834950.2180552941,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,1386056,0.07901467549938279,1400,56978.39330488081,814618.1390327793,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,40280,0.0012757672601444322,1788,1410.7286669809723,14241.326898069046,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,9095,0.0003153290773557873,98,113378.25809569618,1120596.655914333,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,19778,0.0011294130438469574,856,1034.5212588898378,10905.75929570103,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,22745,0.0012966206230004137,805,1427.283442655225,15574.099149442005,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,206265,0.00653292288762888,2311,3204.6597422489067,60687.435821732615,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,104305,0.0036163165930286306,339,132406.95372342577,890735.6298422385,0.8,8.0,100.0,1,60,3
