group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,498707,4850.951851142867,12.740906923061274,2000.0,2505.005012389816,10245.584998684173,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,131464,8035.186446683359,378.22262239464214,2000.0,2063.939779114955,10859.2505892719,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,last_40,largest_cluster,261629,4867.993434523291,107.73822535825394,2000.0,2503.9222559236046,10211.971733294717,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,281520,4923.195399488125,29.2868967130897,2000.0,2492.5427419433922,10324.088807430775,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,all,largest_cluster,23686,1700.0643913780586,9.285988933332169,1000.0,923.557360083956,2679.232063423462,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,all,largest_cluster,1885,4375.8874630885,1117.2991725969512,1000.0,1403.4116920184415,5726.61096530735,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,last_40,largest_cluster,12355,1600.0074690777117,9.311982020839803,1000.0,896.9182557492576,2468.0600217572423,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,all,largest_cluster,13209,1710.0327555266003,68.83552497346675,1000.0,927.9849445155565,2691.541099247103,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,all,largest_cluster,97022,2126.412722250913,13.398994990413156,1000.0,1243.7722282844,3775.323968727079,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,all,largest_cluster,18805,5649.719623478602,542.9554549574128,1000.0,1591.5264063440331,7690.347066913092,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,last_40,largest_cluster,51406,2077.6738800518556,34.9855099730063,1000.0,1235.6303042036552,3701.1745750054665,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,chain_pair,all,largest_cluster,54659,2155.9184289416994,54.6880999221849,1000.0,1256.678927220304,3836.670021641781,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric N-ter BB,chain_pair,all,largest_cluster,21931,1626.8903882076236,5.576173976262002,1000.0,902.3700563333741,2496.722445660215,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric N-ter BB,chain_pair,all,largest_cluster,472,2527.5391246492522,1007.2560862977939,1000.0,1156.846058200415,4378.817299205649,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric N-ter BB,chain_pair,last_40,largest_cluster,11420,1543.2565053078536,12.013475713498911,1000.0,874.5037393449342,2298.3674835486577,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric N-ter BB,chain_pair,all,largest_cluster,12307,1629.1706009086636,69.13675325164294,1000.0,898.8371311237269,2505.491353467988,0.8,8.0,100.0,1,60,3
