group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,contact_mode,contact_label,event_unit,contact_cutoff_nm
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,8583,1705.1147617383199,1000.0,34000.0,925.3779219555706,2710.1522842639592,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,7215,1687.0408870408871,1000.0,74000.0,914.1611208554908,2584.967320261438,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,7888,1708.0375253549696,1000.0,34000.0,931.297528584173,2733.8103756708406,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,367,3621.25340599455,1000.0,56000.0,1841.8990366680819,7630.0,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,988,5955.465587044534,1000.0,3175000.0,1144.2125658837772,4006.6666666666665,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,530,3550.943396226415,1000.0,157000.0,1296.1622059095466,5384.615384615385,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,4617,1613.1687242798355,1000.0,17000.0,902.1640247639724,2533.8815789473683,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,3949,1593.8212205621676,1000.0,16000.0,889.2925140056909,2458.75,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,3789,1593.0324623911322,1000.0,21000.0,899.400975366656,2404.0358744394616,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,4703,1769.5088241547946,1000.0,28000.0,957.7522513436555,2820.1704545454545,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL2/TR_Mdvwhole/clus_centered.xtc,3276,1613.5531135531137,1000.0,42000.0,896.461883429591,2466.326530612245,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,29,1225,406,1,58,three_antisymmetric_nac_bb,Any 3 antisymmetric N-ter BB,chain_pair,0.8
