group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,33740,0.002868760742973322,697,3251.2377941833556,45864.52111559773,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,27058,0.0028599677030182818,559,3141.825537981086,40940.962004711284,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,27391,0.0026462088090707836,641,3194.0586464456114,34895.11475352897,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,31188,0.003296499102732433,300,8544.175960041404,122569.84562656259,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,32747,0.003163644988158189,331,6166.813984365104,96964.2124299184,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,29246,0.003238435846337847,291,7552.75988829369,126083.87778566616,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,18676,0.0031385096784439202,346,3447.8468934340335,45810.44547262337,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,21042,0.0035361169765376404,338,3479.7066615297517,41447.57469402191,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,20032,0.0035704094474688004,359,3568.247425664388,49798.57855186989,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,23140,0.0043821375438213754,348,3592.23453118187,52968.15950061165,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL2/TR_Mdvwhole/clus_centered.xtc,fluctuation,4060406,18687,0.004602249134692442,298,3165.6642769926398,39478.34011470418,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,29,1225,406,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL3/TR_Mdvwhole/clus_centered.xtc,fluctuation,8200820,32915,0.004013623027941109,509,3635.878586857587,55478.57255112377,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,41,1225,820,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
