group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,1000.0,0.453226277225705,0.000673918974513701,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,2000.0,0.27099837116738285,0.002771870035529642,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,3000.0,0.1818981301091965,0.0026646980113621075,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,4000.0,0.1290262045023922,0.002461438694425142,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,5000.0,0.0968527004579832,0.0022250000330627817,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,6000.0,0.0739054084784454,0.002042161422679164,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,7000.0,0.057837417998494005,0.0012055190573910999,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,8000.0,0.04568770003275215,0.0011253983482684316,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,9000.0,0.03729813903842521,0.0008244823325627421,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric C-ter BB,chain_pair,all,largest_cluster,10000.0,0.030256022309011543,0.0009092981090325175,1468.3521744849954,4902.17728421273,2552.3985397938563,0.8,236.0,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
