group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,15546,2170.333204682877,1000.0,153000.0,1219.8160428029921,3915.2230971128606,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,12407,2180.8656403643104,1000.0,50000.0,1264.5964995141367,3873.0891719745223,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,12624,2169.756020278834,1000.0,48000.0,1198.7917675665235,3940.7035175879396,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,11361,2745.1808819646158,1000.0,169000.0,1367.6578608430925,4880.6547619047615,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,12943,2530.093486826856,1000.0,223000.0,1313.0237025751055,4551.092896174863,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,10809,2705.708206124526,1000.0,318000.0,1356.743679196394,4876.086956521739,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,8480,2202.3584905660377,1000.0,60000.0,1213.3305303537365,3885.4961832061067,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,9324,2256.7567567567567,1000.0,67000.0,1281.1103660176689,4169.581749049429,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,8961,2235.4647918759065,1000.0,38000.0,1297.9272729603736,4081.494661921708,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,10257,2256.020278833967,1000.0,52000.0,1289.617146197796,4057.095709570957,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,43,619,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric C-ter BB,chain_pair,0.8,236.0,8.0,partner_consecutive_v2
