group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_any_to_NAC_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any NAC BB to NAC BB,fluctuation,chain_pair,all,largest_cluster,31573157,977842,0.030970675501344386,2250,38876.49155865342,674861.7485199813,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_any_to_NAC_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any NAC BB to NAC BB,fluctuation,chain_pair,all,largest_cluster,28842884,828849,0.02873668943785233,448,368547.0356477318,1480433.85985551,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_any_to_NAC_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any NAC BB to NAC BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,604492,0.034519220836340125,1217,37833.178958439676,599066.361270513,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_any_to_NAC_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any NAC BB to NAC BB,fluctuation,chain_pair,all,largest_cluster,17541754,687745,0.039206170603008114,1239,39272.324500421695,723307.4894298817,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,31573157,248152,0.007859587813787516,1860,5674.882290450816,189404.822582446,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,28842884,267100,0.00926051638941515,238,314249.7168782768,1594978.9574923078,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric NAC BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,155721,0.00889237175654222,1015,5725.606340735345,167934.51347127682,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,17541754,182556,0.010406941061880129,1033,6621.8069758780875,210135.81144244873,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,31573157,450050,0.01425419700665347,2015,15303.738526512749,337028.60899099516,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,fluctuation,chain_pair,all,largest_cluster,28842884,428618,0.01486044183376392,308,386870.582528693,1639886.881954617,0.8,156.0,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
