group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,45202,0.0038433231506781293,601,1861.2853279558176,77072.24786608106,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,42376,0.0044790446959532375,531,1805.6657424362402,72740.60421649089,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,40828,0.0039443398655303556,582,1763.2991202161165,66861.12869008593,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,19278,0.0020376397878182585,59,112533.39963706236,926705.2086449049,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,9749,0.0009418381833314253,46,30256.32889733194,1027919.9460221367,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,20625,0.0022838247736688124,47,66833.39341136851,845933.2030015226,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,26580,0.004466780212735029,316,1867.4175231300906,52441.3922390494,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,29132,0.004895644889292583,300,2028.3561864937128,95779.02897170358,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,24223,0.0043173935725857,345,1720.7228789975388,66382.89236729582,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,27241,0.005158764426587644,318,1892.59796252847,74933.40841625076,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,33,469,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
