group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,51255,3038.630377524144,2000.0,151000.0,1794.7838940012261,5955.5633310007,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,48427,3093.749354698825,2000.0,129000.0,1823.9426768916123,6149.793814432989,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,47813,3021.8559805910527,2000.0,168000.0,1788.6288000943618,5927.307398932113,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,12667,11419.357385331965,2000.0,7169000.0,2000.0632166056355,11991.463414634145,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,11966,12487.63162293164,2000.0,5602000.0,2431.1648941915,15460.377358490563,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,11794,11407.664914363237,2000.0,10001000.0,2191.974948057535,11344.186046511628,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,30477,3091.052268924107,2000.0,168000.0,1811.8705925550544,6142.642140468227,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,30572,3229.1312311919405,2000.0,117000.0,1878.342463049683,6446.860643185299,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,29938,3012.392277373238,2000.0,236000.0,1792.4309566061304,5985.119798234552,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,30672,3246.8701095461656,2000.0,128000.0,1866.5054983372875,6564.4012944983815,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,33,469,antisymmetric_nac_bb,Any 1 banded antisymmetric NAC BB,chain_pair,0.8,156.0,8.0,partner_consecutive_v2
