group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,1.0,1.2819751242557092e-16,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.7402624699928131,0.0027437746223076005,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.6901305991478474,0.0033234085794760664,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.6582709443180883,0.0036611380699496446,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.634947972945687,0.004109056591302908,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.6160665623050022,0.0045944497762554415,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.6006860827476851,0.004539890870469897,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.5872583486076577,0.004607387561803441,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.5759101448537285,0.004737701797940288,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.5652372405128455,0.00507517564453862,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,10000.0,0.5559270082120706,0.004975896224465166,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,11000.0,0.5475463063950641,0.0050311384505564005,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,12000.0,0.5395661030082107,0.004898378173866051,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,13000.0,0.5325023134768049,0.004730778253694647,73765.06911172945,852625.1147036483,0.07663984947719989,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
