group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,2419762,0.07663984947719989,2907,73765.06911172945,852625.1147036483,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,1056459,0.03662806396198105,874,197933.06375976015,1151788.4786463664,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,1275623,0.0728438292664166,1442,65967.09686062664,834950.2180552941,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,1386056,0.07901467549938279,1400,56978.39330488081,814618.1390327793,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,459288,0.014546787323168222,2405,10439.01416942321,226280.95085885943,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,159890,0.005543481712855067,367,131093.28159931934,740446.3304381103,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,239304,0.013665338206327853,1171,9709.375800571317,244652.991774366,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,264040,0.015052086581535689,1133,9807.794931574974,241642.10444131345,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,796338,0.025221994746993468,2562,24015.28814421353,362706.0316223283,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,333598,0.01156604173147179,486,178084.32561844462,925682.2965797941,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,415391,0.023720700459936874,1256,24353.45018438544,414304.1104216934,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,457735,0.026094026857291466,1229,23530.092761036518,392656.30570127355,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,250691,0.007940004225741506,2278,3879.870487645427,110392.86926404551,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,12517,0.00043397185940213193,178,40790.377123746686,452467.50535887206,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,128063,0.007312975155939575,1108,3465.1035543131184,105252.92893870913,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,141663,0.008075760268898995,1037,3755.610687778502,113068.07377638388,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
