group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,0.9999999999999997,1.5700924586837752e-16,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.6224342198901209,0.0012451230959753638,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.5475543682304712,0.0011387489451222972,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.5030167723259394,0.0007071446913261116,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.4717552344097882,0.0006761850256122657,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.44773242406933483,0.001160405636902349,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.4281153533956576,0.0009938854129389672,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.41036166112257993,0.0008509234244245738,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.3960306723720359,0.0010978919690931915,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.3835130851566548,0.00028896562434457135,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,10000.0,0.3721917884606934,0.0001353827383437795,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,11000.0,0.362368990953003,0.0006164135184087324,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,12000.0,0.3535387251528162,0.0008832164454629597,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,13000.0,0.3460157409912508,0.0012040572440567907,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,14000.0,0.338802796426247,0.0013855773474202246,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,15000.0,0.33201274847541157,0.001163443429989553,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,16000.0,0.3262200490697431,0.0015737691255239689,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17000.0,0.32010034105410945,0.0016706266667620851,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,18000.0,0.31519555804542626,0.0012670442571853405,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,19000.0,0.3084177627055807,0.0015411852565217878,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,20000.0,0.3035635352848318,0.0010351960446665835,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,21000.0,0.2995178267826093,0.0007381081159262685,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_fluctuation_acf,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,22000.0,0.29507379113222915,0.0010657946966312175,10439.01416942321,226280.95085885943,0.014546787323168222,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
