group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,1.0,1.8129866073473578e-16,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.5313106547866074,0.0014008104004409594,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.4448607472303084,0.0010527254442573631,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.39749285559152026,0.0009946922364297568,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.3638362949545966,0.0021603724278286894,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.34005341780358783,0.001135128511772173,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.32068683360905803,0.0010861519775004964,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.3047352683576969,0.0009737254779168174,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.2908337889481077,0.0023870709133057013,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.28077272253008284,0.002473373767213734,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,10000.0,0.2703225598871803,0.0024325981244999934,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,11000.0,0.2616537977185324,0.002957067884376288,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,12000.0,0.2534681552868491,0.002883374632092836,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,13000.0,0.2467371300408789,0.0034985041975960232,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,14000.0,0.2404297298864505,0.0033216578346257266,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,15000.0,0.23543666607887223,0.0031840439054984255,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,16000.0,0.23041852528684734,0.00425404215834599,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17000.0,0.22562683811826637,0.004628068923737656,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,18000.0,0.22084401437740006,0.004487434092658202,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,19000.0,0.2158803446387175,0.003196340100960438,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,20000.0,0.2115166430075817,0.0031265136596234314,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,21000.0,0.20860828228109352,0.0028549085602532624,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,22000.0,0.20506421578494108,0.0029269377643409674,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,23000.0,0.20269632982854882,0.0027610900256245003,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,24000.0,0.19880513082377527,0.0026673961402005923,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,25000.0,0.19557804948021182,0.001643222537098634,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,26000.0,0.1933425641169951,0.0026518526532728326,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,27000.0,0.19017524671873764,0.0019363158362574837,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_fluctuation_acf,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28000.0,0.1874360765422144,0.00218263871278851,3879.870487645427,110392.86926404551,0.007940004225741506,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
