group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,1000.0,0.5386359446075798,0.0012183658264075913,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,2000.0,0.3584600002009295,0.00021029670988616846,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,3000.0,0.2600859195004864,0.0006136788979539929,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,4000.0,0.19883909262422791,0.0007596081350691071,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,5000.0,0.15653336207781166,9.06711024370165e-05,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,6000.0,0.12684889742863642,0.0004612400679047902,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,7000.0,0.10460847301347152,0.0006699480616387129,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,8000.0,0.08745943873375657,0.0008193907923976704,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,9000.0,0.07383982604516184,0.0005797574314248983,1947.7208736075581,7268.730759896068,3522.5546203809627,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
