group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,antisymmetric_sum_target,antisymmetric_sum_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,498707,4850.951851142867,12.740906923061274,2000.0,2505.005012389816,10245.584998684173,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,131464,8035.186446683359,378.22262239464214,2000.0,2063.939779114955,10859.2505892719,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,last_40,largest_cluster,261629,4867.993434523291,107.73822535825394,2000.0,2503.9222559236046,10211.971733294717,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,281520,4923.195399488125,29.2868967130897,2000.0,2492.5427419433922,10324.088807430775,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,164280,2795.5093475078975,13.649836892239847,1000.0,1658.956296905209,5448.515067670893,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,26657,5963.871437248924,393.70240583689343,1000.0,1631.511897508341,7524.215095379014,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,chain_pair,last_40,largest_cluster,86771,2756.042813917776,39.279527136455066,1000.0,1649.3587444207194,5383.216423618294,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_antisymmetric_BB_contact_survival,three_antisymmetric_nac_bb,Any 3 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,93344,2819.437377041286,82.30600587429609,1000.0,1665.885263379591,5490.804961278041,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,226048,3522.5546203809627,9.311537544424786,2000.0,1947.7208736075581,7268.730759896068,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,46332,7174.107121315519,776.3144562092824,2000.0,1936.7598242826862,9708.569573030598,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,last_40,largest_cluster,118210,3511.0276686295997,50.16409296442484,2000.0,1969.4356197139082,7255.051147497415,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_antisymmetric_BB_contact_survival,antisymmetric_nac_bb,Any 1 banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,126971,3595.0728404760684,98.01845942074385,2000.0,1966.377689610753,7420.633680102483,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,113771,2203.0122489594223,10.13612374259081,1000.0,1300.5396028295056,3944.63003298868,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,5096,2515.2415885643873,245.59326161781766,1000.0,1087.6217965911321,3896.824319270548,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,chain_pair,last_40,largest_cluster,59662,2145.332342119707,24.31840572655426,1000.0,1250.5130460364212,3855.4799457805166,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric N-ter BB,chain_pair,all,largest_cluster,63698,2214.828559354078,70.51565881249516,1000.0,1293.6677379512676,3980.145885554077,0.8,61.0,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
