group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2505.005012389816,2.505005012389816,12.995096113926138,0.012995096113926139,13.006614930237447,0.013006614930237448,13.006614930237447,0.013006614930237448
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2063.939779114955,2.0639397791149547,34.88206745683192,0.03488206745683192,35.34634241423237,0.035346342414232367,35.34634241423237,0.035346342414232367
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2503.9222559236046,2.5039222559236047,33.56691651065648,0.033566916510656485,33.426484432010966,0.03342648443201097,33.56691651065648,0.033566916510656485
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2492.5427419433922,2.4925427419433923,31.20969144448418,0.03120969144448418,31.128546527496837,0.031128546527496838,31.20969144448418,0.03120969144448418
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_antisymmetric_nac_bb,Any 3 banded antisymmetric BB contacts,1/e,True,1658.956296905209,1.658956296905209,9.678649159831139,0.009678649159831139,9.660451440432553,0.009660451440432552,9.678649159831139,0.009678649159831139
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_antisymmetric_nac_bb,Any 3 banded antisymmetric BB contacts,1/e,True,1631.511897508341,1.631511897508341,57.13984649980284,0.057139846499802846,55.63173908793215,0.05563173908793215,57.13984649980284,0.057139846499802846
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_antisymmetric_nac_bb,Any 3 banded antisymmetric BB contacts,1/e,True,1649.3587444207194,1.6493587444207194,11.73141258972123,0.01173141258972123,11.433863531638735,0.011433863531638735,11.73141258972123,0.01173141258972123
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_antisymmetric_nac_bb,Any 3 banded antisymmetric BB contacts,1/e,True,1665.885263379591,1.6658852633795909,19.07352675339871,0.01907352675339871,19.27528693792783,0.019275286937927832,19.27528693792783,0.019275286937927832
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,antisymmetric_nac_bb,Any 1 banded antisymmetric BB contact,1/e,True,1947.7208736075581,1.9477208736075582,1.4678841405871026,0.0014678841405871025,1.4515501534988289,0.001451550153498829,1.4678841405871026,0.0014678841405871025
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,antisymmetric_nac_bb,Any 1 banded antisymmetric BB contact,1/e,True,1936.7598242826862,1.9367598242826862,37.28835469007481,0.03728835469007481,37.78430673028538,0.03778430673028538,37.78430673028538,0.03778430673028538
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,antisymmetric_nac_bb,Any 1 banded antisymmetric BB contact,1/e,True,1969.4356197139082,1.9694356197139082,5.1506865182104775,0.005150686518210478,5.017033854521287,0.005017033854521287,5.1506865182104775,0.005150686518210478
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,antisymmetric_nac_bb,Any 1 banded antisymmetric BB contact,1/e,True,1966.377689610753,1.966377689610753,15.967700856160718,0.015967700856160717,16.165844383430795,0.016165844383430796,16.165844383430795,0.016165844383430796
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric BB contacts,1/e,True,1300.5396028295056,1.3005396028295055,11.311308904307907,0.011311308904307907,11.344726870265049,0.011344726870265049,11.344726870265049,0.011344726870265049
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric BB contacts,1/e,True,1087.6217965911321,1.0876217965911321,80.87702390089771,0.08087702390089771,83.04591823334863,0.08304591823334863,83.04591823334863,0.08304591823334863
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric BB contacts,1/e,True,1250.5130460364212,1.250513046036421,13.119241589483181,0.013119241589483181,12.972170243929213,0.012972170243929214,13.119241589483181,0.013119241589483181
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_antisymmetric_nac_bb,3 consecutive banded antisymmetric BB contacts,1/e,True,1293.6677379512676,1.2936677379512675,48.4276783511707,0.0484276783511707,48.363797156504916,0.04836379715650491,48.4276783511707,0.0484276783511707
