group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,554990.8165682105,554.9908165682104,21946.900116384146,21.946900116384146,31596.106020135805,31.596106020135807,31596.106020135805,31.596106020135807
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,765645.7588220114,765.6457588220114,23533.022620543954,23.533022620543953,30480.687741045956,30.480687741045955,30480.687741045956,30.480687741045955
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,527676.6680185652,527.6766680185651,1514.8434166524094,1.5148434166524094,12530.634368769708,12.530634368769707,12530.634368769708,12.530634368769707
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,649895.2804133896,649.8952804133895,9341.654892517254,9.341654892517253,6776.357423926587,6.776357423926587,9341.654892517254,9.341654892517253
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,93975.69413313545,93.97569413313545,10634.028905574873,10.634028905574873,13727.511711337123,13.727511711337124,13727.511711337123,13.727511711337124
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,230625.69931404022,230.62569931404022,35266.305960355676,35.26630596035567,47455.08564269837,47.455085642698364,47455.08564269837,47.455085642698364
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,129875.29131395265,129.87529131395266,26392.056613724853,26.392056613724854,43762.243319715344,43.762243319715346,43762.243319715344,43.762243319715346
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,114792.96819258257,114.79296819258258,11581.759002075472,11.581759002075472,7211.4408096798,7.211440809679799,11581.759002075472,11.581759002075472
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,213989.10934191162,213.98910934191161,19435.93923140646,19.43593923140646,19064.729098054435,19.064729098054435,19435.93923140646,19.43593923140646
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,438755.8188152815,438.7558188152815,43070.71643788286,43.07071643788286,80514.35824008944,80.51435824008944,80514.35824008944,80.51435824008944
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,238964.85205787738,238.96485205787738,36505.869387012615,36.505869387012616,60797.311641094595,60.797311641094595,60797.311641094595,60.797311641094595
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,232204.40011038154,232.20440011038153,17784.883443748055,17.784883443748054,23181.748832067125,23.181748832067125,23181.748832067125,23.181748832067125
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,39235.50232476191,39.23550232476191,4853.262006813682,4.853262006813682,4861.198279664539,4.8611982796645385,4861.198279664539,4.8611982796645385
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,122455.01874044791,122.45501874044791,23432.338295886977,23.43233829588698,41560.726047802396,41.5607260478024,41560.726047802396,41.5607260478024
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,46108.26542799378,46.10826542799378,8438.237197515293,8.438237197515292,19801.94872142918,19.80194872142918,19801.94872142918,19.80194872142918
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,39597.24372808678,39.59724372808678,4236.110957148143,4.236110957148143,6570.167065436748,6.570167065436748,6570.167065436748,6.570167065436748
