group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,290579,3722.267642358605,30.443070069453075,2000.0,1938.311850612394,7744.971443621988,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,233490,4766.383331849288,126.51522354209321,2000.0,2040.0497245832335,9277.895141190216,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,last_40,largest_cluster,185519,3801.0263068776317,65.78995463533295,2000.0,1953.6341559622501,7889.420923476633,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,211570,3930.3906562411153,32.87338614125262,2000.0,1995.8357869869246,8201.485120541105,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,all,largest_cluster,66640,2574.830565383603,44.29061563930938,1000.0,1473.4596822427288,4959.6336966240615,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,all,largest_cluster,54481,3201.012163198536,74.81201855500541,1000.0,1573.885333352489,5883.043192780912,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,last_40,largest_cluster,41691,2657.161212050121,70.15993525905067,1000.0,1498.8076795234165,5109.310232858579,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,all,largest_cluster,50157,2596.5417772002306,27.88360724232994,1000.0,1483.9327051264386,4936.826144096014,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric C-ter BB,chain_pair,all,largest_cluster,118276,3030.839108841888,38.40244520880761,1000.0,1693.1306376189086,6068.634342139505,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric C-ter BB,chain_pair,all,largest_cluster,94630,3783.6208029308486,78.75155463340099,2000.0,1778.6775827723613,7150.970071685522,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric C-ter BB,chain_pair,last_40,largest_cluster,73677,3110.5314505882147,96.33419836373864,1000.0,1719.8988125832366,6231.80348071466,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric C-ter BB,chain_pair,all,largest_cluster,87362,3085.7041132533486,21.128326369761847,1000.0,1722.9663747669988,6187.2591141388075,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,all,largest_cluster,37331,2163.0960181991127,31.862909725071688,1000.0,1211.197662361329,3905.7960066510973,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,all,largest_cluster,31993,2692.283658667015,47.792432293558555,1000.0,1347.5128716654228,4768.3228937316535,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,last_40,largest_cluster,23930,2229.622093751864,77.7467116621667,1000.0,1224.5829065557457,4024.2965692706834,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,all,largest_cluster,28001,2188.9473998062645,33.66579719615048,1000.0,1233.03605968461,3902.4549247174855,0.8,8.0,8.0,100.0,96,140,3,partner_consecutive_v2
