group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,symmetric_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,24749,2516.3036890379412,1000.0,79000.0,1455.1237792966008,4788.630806845966,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,20710,2623.4186383389665,1000.0,77000.0,1488.1115183353713,5146.435452793834,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,21181,2584.769368773901,1000.0,71000.0,1477.0950505523867,4979.741379310345,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,18566,3240.1163416998816,1000.0,959000.0,1586.0866489518444,5902.463054187192,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,19497,3096.3225111555626,1000.0,293000.0,1547.1592544624637,5774.720357941835,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,16418,3266.597636740163,1000.0,201000.0,1588.0668954956368,5966.093366093366,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,13059,2622.099701355387,1000.0,65000.0,1480.6307211343974,4995.739910313901,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,15070,2755.076310550763,1000.0,171000.0,1538.1018411658547,5283.95061728395,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,13562,2594.3076242442116,1000.0,50000.0,1475.7377059353207,5054.938271604939,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,14519,2604.3804669743095,1000.0,78000.0,1484.1134027857584,4898.782961460446,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,43,619,three_symmetric_nac_bb,Any 3 banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
