group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,symmetric_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,13689,2137.11739352765,1000.0,38000.0,1202.2775099137193,3816.4835164835163,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,11617,2207.9710768701043,1000.0,55000.0,1248.8733170544986,4027.7611940298507,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,12025,2144.199584199584,1000.0,57000.0,1181.3816018329771,3888.7814313346225,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,10683,2740.24150519517,1000.0,733000.0,1297.1952667905452,4749.826989619377,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,11656,2627.0590253946466,1000.0,227000.0,1344.2067298844768,4722.994652406417,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,9654,2709.5504454112283,1000.0,100000.0,1398.8116544142592,4831.438127090301,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,7464,2179.662379421222,1000.0,46000.0,1149.7644981265428,3893.498452012384,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,8756,2339.4243947007767,1000.0,76000.0,1278.5434136859758,4275.812274368231,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,7710,2169.7795071335927,1000.0,46000.0,1240.9718629884353,3957.7464788732395,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,8013,2199.800324472732,1000.0,59000.0,1216.8601082943983,3866.5782493368697,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,43,619,triplet_symmetric_nac_bb,3 consecutive banded symmetric C-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
