group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,674861.7485199813,674.8617485199812,25315.74340658635,25.31574340658635,32651.25626038143,32.65125626038143,32651.25626038143,32.65125626038143
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,1480433.85985551,1480.43385985551,167764.0782492808,167.7640782492808,148625.8907103266,148.62589071032662,167764.0782492808,167.7640782492808
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,599066.361270513,599.0663612705131,80495.95935691567,80.49595935691568,84724.62611476879,84.7246261147688,84724.62611476879,84.7246261147688
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,723307.4894298817,723.3074894298817,49574.68165603792,49.574681656037924,40844.66890296806,40.84466890296806,49574.68165603792,49.574681656037924
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,196765.12808993645,196.76512808993644,25488.135906910524,25.488135906910525,22027.264448884176,22.027264448884175,25488.135906910524,25.488135906910525
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,1188999.0265596863,1188.9990265596864,50643.9281942728,50.643928194272796,95494.10923194094,95.49410923194094,95494.10923194094,95.49410923194094
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,205113.11473769066,205.11311473769067,5952.490492145036,5.952490492145036,17189.707460966107,17.18970746096611,17189.707460966107,17.18970746096611
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,0.1,True,210021.36142041176,210.02136142041175,21029.249695810606,21.029249695810606,10302.745152476331,10.302745152476332,21029.249695810606,21.029249695810606
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,349238.3878885717,349.2383878885717,37512.261218786065,37.512261218786065,32179.82678052789,32.17982678052789,37512.261218786065,37.512261218786065
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,1263200.8315523854,1263.2008315523854,51971.881113237236,51.97188111323724,68771.87423760188,68.77187423760188,68771.87423760188,68.77187423760188
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,354174.560319339,354.174560319339,45344.68046086427,45.34468046086427,25174.140113721194,25.174140113721194,45344.68046086427,45.34468046086427
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,0.1,True,360667.7036065553,360.6677036065553,41698.55330819561,41.698553308195606,57474.403386014455,57.47440338601446,57474.403386014455,57.47440338601446
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,81279.99153591231,81.27999153591232,12003.228872282678,12.003228872282678,10327.181596359631,10.327181596359631,12003.228872282678,12.003228872282678
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,988795.4241564107,988.7954241564107,424018.7936412215,424.01879364122146,165547.09825678717,165.54709825678717,424018.7936412215,424.01879364122146
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,88844.30672710457,88.84430672710457,7959.470348604707,7.959470348604707,5829.947914233795,5.829947914233795,7959.470348604707,7.959470348604707
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,0.1,True,78278.24058638177,78.27824058638177,9394.072665848915,9.394072665848915,1868.8908946909942,1.8688908946909941,9394.072665848915,9.394072665848915
