group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,symmetric_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,90247,0.007673297296120728,674,6393.948453379795,209687.11759548332,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,90763,0.009593438119190195,562,7552.390016860272,215339.9175517178,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,80011,0.007729758425123671,609,5794.232242317619,162697.93173001747,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,85162,0.009001425438851464,91,336870.9080552147,1234233.7053342394,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,91059,0.008797091305362218,91,249869.093303641,1126804.3733847328,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,95603,0.010586206052705915,80,181175.1518724222,1245774.051250124,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,57541,0.009669789323588649,331,7606.352929209905,206577.38831646525,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,54349,0.00913337237704801,329,6187.492250136719,185725.48320819036,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,52921,0.009432390094323902,354,7144.512018839729,226777.2999439493,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,54467,0.010314688228146882,333,7041.020109468333,184762.61571138538,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL2/TR_Mdvwhole/clus_centered.xtc,fluctuation,4060406,48078,0.011840687852397027,260,7889.074532308542,222477.281593221,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,29,1225,406,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL3/TR_Mdvwhole/clus_centered.xtc,fluctuation,8200820,81306,0.009914374416216915,453,8037.356532941245,209737.68766417046,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,41,1225,820,1,33,469,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
