group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,251022,3894.063906587245,78.99427880827646,2000.0,2142.1647761618083,7950.849241040267,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,63714,13050.970730353458,636.7838453979141,2000.0,2533.4458070413048,15782.905367331525,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,last_40,largest_cluster,151271,3996.440928325334,69.66891708869494,2000.0,2178.0390958125713,8129.080074872702,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,170533,4023.589922113839,41.328806956587776,2000.0,2221.2378724522505,8324.192534204136,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,all,largest_cluster,107619,2424.237151428677,56.96907206765778,1000.0,1470.7909915327557,4505.1240667483835,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,all,largest_cluster,30526,9082.612460128068,1152.36043164617,2000.0,1858.713929446712,9623.788858981565,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,last_40,largest_cluster,66057,2494.759426474757,26.50423262201557,1000.0,1512.0451076896163,4680.583047771555,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric NAC BB,chain_pair,all,largest_cluster,72661,2527.1022249360494,39.81561761739352,1000.0,1521.3726550747015,4692.613244305234,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric NAC BB,chain_pair,all,largest_cluster,150291,3142.9181799646362,90.66547467491016,2000.0,1832.7911667420792,6278.922370676634,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric NAC BB,chain_pair,all,largest_cluster,40727,11088.625947963452,780.8266577211275,2000.0,2152.729697182321,12825.853041815446,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric NAC BB,chain_pair,last_40,largest_cluster,90297,3260.5549575557748,23.878974455194694,2000.0,1874.28735271492,6571.17847148434,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric NAC BB,chain_pair,all,largest_cluster,100797,3271.3584897852647,36.91363444756017,2000.0,1862.4292124385079,6542.72073631903,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,69762,1885.3316144460114,41.92689226267457,1000.0,1045.1251513961622,3128.8503305549907,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,11290,3505.118024274497,587.3629050296416,1000.0,1378.8997901027192,6038.4509395821315,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
