group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,symmetric_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,24234,1881.530081703392,1000.0,45000.0,1034.6453617236589,3115.25076765609,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,23682,1938.4764800270248,1000.0,59000.0,1114.1348745485627,3279.7297297297296,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,21846,1835.988281607617,1000.0,42000.0,995.337013706838,2988.5980221058753,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,3934,2674.8856126080323,1000.0,245000.0,1049.5647177481783,3921.9178082191775,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,4086,3943.220753793441,1000.0,364000.0,1605.4235169248313,7650.847457627118,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,3270,3897.2477064220184,1000.0,180000.0,1485.6213490422087,6913.793103448275,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,15469,1919.9689701984614,1000.0,56000.0,1053.4290963224416,3258.904109589041,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,14422,1883.9273332408818,1000.0,34000.0,1054.4417848544476,3126.2820512820513,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,14224,1909.7300337457818,1000.0,41000.0,1055.4950706502264,3195.2702702702704,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,13955,1876.0300967395199,1000.0,36000.0,1032.8225727812348,3065.4981549815498,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,33,469,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,0.8,8.0,partner_consecutive_v2
