group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,73765.06911172945,73.76506911172945,4905.695091831381,4.905695091831381,5118.668000754245,5.118668000754245,5118.668000754245,5.118668000754245
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,197933.06375976015,197.93306375976016,29107.489075669204,29.107489075669204,28529.21454010412,28.52921454010412,29107.489075669204,29.107489075669204
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,65967.09686062664,65.96709686062664,6796.645355805165,6.796645355805166,6987.729672796864,6.987729672796864,6987.729672796864,6.987729672796864
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,56978.39330488081,56.97839330488081,4572.525014176237,4.572525014176237,4978.295230994867,4.978295230994867,4978.295230994867,4.978295230994867
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,10156.60678582624,10.15660678582624,365.4686123024567,0.3654686123024567,365.89700012907997,0.36589700012908,365.89700012907997,0.36589700012908
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,170432.07776478323,170.43207776478323,27814.905919794866,27.814905919794867,36455.67521129837,36.45567521129837,36455.67521129837,36.45567521129837
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,12312.360071244828,12.312360071244829,961.4314190143687,0.9614314190143687,1184.9816654996957,1.1849816654996956,1184.9816654996957,1.1849816654996956
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,12253.894989403034,12.253894989403033,493.03505984749063,0.49303505984749063,494.264554063142,0.49426455406314196,494.264554063142,0.49426455406314196
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,22894.19980774914,22.89419980774914,697.7413612021119,0.6977413612021118,725.9596553327865,0.7259596553327865,725.9596553327865,0.7259596553327865
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,239114.4968203196,239.1144968203196,19337.62290371125,19.33762290371125,19809.690447525325,19.809690447525323,19809.690447525325,19.809690447525323
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,26664.57772461188,26.66457772461188,1973.6259090169588,1.9736259090169588,1896.1869913540286,1.8961869913540286,1973.6259090169588,1.9736259090169588
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,25959.753417167176,25.959753417167175,1314.1723336883297,1.3141723336883298,1638.1097652330354,1.6381097652330354,1638.1097652330354,1.6381097652330354
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,3739.9627617434817,3.739962761743482,167.96348979497589,0.16796348979497588,181.19364423618208,0.1811936442361821,181.19364423618208,0.1811936442361821
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,30673.798450871585,30.673798450871587,10840.988998478584,10.840988998478585,26204.410355269963,26.204410355269964,26204.410355269963,26.204410355269964
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,4463.504778481112,4.463504778481112,246.59949837552176,0.24659949837552175,274.26985764086294,0.2742698576408629,274.26985764086294,0.2742698576408629
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,4464.79155574792,4.46479155574792,56.599645181954656,0.05659964518195466,58.46072359507616,0.05846072359507616,58.46072359507616,0.05846072359507616
