group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,2419762,0.07663984947719989,2907,73765.06911172945,852625.1147036483,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,1056459,0.03662806396198105,874,197933.06375976015,1151788.4786463664,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,1275623,0.0728438292664166,1442,65967.09686062664,834950.2180552941,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,1386056,0.07901467549938279,1400,56978.39330488081,814618.1390327793,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_symmetric_BB_contact_fluctuation_acf,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,460557,0.014586979692908125,2464,10156.60678582624,198377.2599278764,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_symmetric_BB_contact_fluctuation_acf,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,168960,0.005857944025292339,401,170432.07776478323,1057638.6149941825,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_symmetric_BB_contact_fluctuation_acf,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,286409,0.016355246257213227,1161,12312.360071244828,258581.90350166187,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_symmetric_BB_contact_fluctuation_acf,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,303259,0.01728783792088294,1112,12253.894989403034,243937.10582402197,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_fluctuation_acf,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,798974,0.025305483388943336,2611,22894.19980774914,339460.52801462635,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_symmetric_BB_contact_fluctuation_acf,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,332480,0.011527280004315795,524,239114.4968203196,1144863.808027195,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_symmetric_BB_contact_fluctuation_acf,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,481486,0.027495023198993634,1245,26664.57772461188,429811.0070336335,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_symmetric_BB_contact_fluctuation_acf,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,512149,0.029195997161971375,1194,25959.753417167176,405671.29464279464,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,242544,0.007681968578561846,2318,3739.9627617434817,96429.2916474384,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,26908,0.0009329164170961545,225,30673.798450871585,459409.5797933145,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
