group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,symmetric_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,299482,0.025463610101574878,953,23930.07449916764,340050.8518975826,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,232772,0.024603459315802035,781,22399.710091434525,331125.2284988338,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,266720,0.025767471562022543,877,22415.384046038198,350290.1681237107,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,104650,0.011061261738519594,183,268112.6501081937,1075115.446681025,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,121568,0.011744526030488738,181,215988.3033829664,1198707.9601486814,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,106262,0.011766486695737956,160,234397.72546019516,1163337.7188078524,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,183687,0.030868677838098543,420,26206.911333176922,400954.3584472417,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,153372,0.0257742292997591,423,24427.529668108135,437630.4717259945,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,144427,0.025741989080949303,402,29301.024754200334,428862.7897161846,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,163558,0.030973796559737966,402,25899.308905510235,446443.68731837545,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,58,844,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
