group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,0.9999999999999999,1.5700924586837752e-16,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.5267559396773424,0.004527168083958024,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.4417285015374599,0.0048724428176071385,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.3925189819737529,0.004871198317233611,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.359220629575241,0.006132929216968637,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.3341607205042673,0.004511918961669054,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.31542828287254415,0.005024057925927761,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.2989779141425877,0.004884893483162471,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.28616978919322494,0.005116255772924216,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_fluctuation_acf,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.27471414129495825,0.005248389374183298,3739.9627617434817,96429.2916474384,0.007681968578561846,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
