group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,n_banded_residue_pairs,contact_mode,contact_label,event_unit,contact_cutoff_nm,symmetric_window,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,185850,4868.888888888889,2000.0,576000.0,2523.0243417986267,10308.624031007752,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,146090,4840.502430008899,2000.0,459000.0,2498.7964361520053,10230.018303843806,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,166767,4843.464234530813,2000.0,753000.0,2493.2114651893303,10199.098143236073,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,42131,7574.873608506799,2000.0,5102000.0,2057.3581761454548,10584.595300261095,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,46883,8029.413646737623,2000.0,10001000.0,2024.5929571573304,10420.443349753694,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,42450,8501.272084805654,2000.0,2807000.0,2110.346830149911,11647.23926380368,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,95549,5016.232508974454,2000.0,584000.0,2546.330881932023,10652.224199288255,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,85670,4824.372592506128,2000.0,967000.0,2464.4779628543397,9980.66783831283,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,80410,4763.3752020892925,2000.0,423000.0,2500.7473181753626,9988.361683079676,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,94889,4964.611282656578,2000.0,356000.0,2533.7055496336643,10455.374887082204,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,58,844,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,0.8,8.0,partner_consecutive_v2
