group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,498707,4850.951851142867,12.740906923061274,2000.0,2505.005012389816,10245.584998684173,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,131464,8035.186446683359,378.22262239464214,2000.0,2063.939779114955,10859.2505892719,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,last_40,largest_cluster,261629,4867.993434523291,107.73822535825394,2000.0,2503.9222559236046,10211.971733294717,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,281520,4923.195399488125,29.2868967130897,2000.0,2492.5427419433922,10324.088807430775,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,chain_pair,all,largest_cluster,163952,2805.567717099084,37.809440204059875,1000.0,1649.4785068921926,5521.290116841434,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,chain_pair,all,largest_cluster,28375,5982.045899762779,621.5584371183684,1000.0,1739.7770506753614,8006.375822668377,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,chain_pair,last_40,largest_cluster,96372,2968.7559893584876,42.14659266278795,1000.0,1693.8188103940447,5778.806994390882,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_symmetric_BB_contact_survival,three_symmetric_nac_bb,Any 3 banded symmetric N-ter BB,chain_pair,all,largest_cluster,101038,2993.6994717123307,43.2739978363923,2000.0,1711.6128966132205,5830.774537067358,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,227791,3503.7682781013996,40.998499748448644,2000.0,1929.2875400871985,7231.795653337995,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,44635,7445.806863426599,165.1271403536359,2000.0,1935.9897756017974,9972.354279070909,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,last_40,largest_cluster,130781,3677.423285738319,61.663802352925984,2000.0,1957.2336464420455,7515.627327606945,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,136920,3727.606092440519,67.03424814229763,2000.0,1975.4599273331214,7642.097704724363,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,110769,2186.9262337136247,29.24140572271464,1000.0,1272.579885847635,3894.6201555823563,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,9560,2807.3883154464443,145.0310039307795,1000.0,1283.4020652007805,4985.767366792344,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,last_40,largest_cluster,68319,2290.2084299625003,25.76820604054694,1000.0,1330.1866050979006,4131.344749438702,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,71375,2304.7642832670513,20.080428800174275,1000.0,1337.8700283114317,4151.570128549381,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
