group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2505.005012389816,2.505005012389816,12.995096113926138,0.012995096113926139,13.006614930237447,0.013006614930237448,13.006614930237447,0.013006614930237448
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2063.939779114955,2.0639397791149547,34.88206745683192,0.03488206745683192,35.34634241423237,0.035346342414232367,35.34634241423237,0.035346342414232367
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2503.9222559236046,2.5039222559236047,33.56691651065648,0.033566916510656485,33.426484432010966,0.03342648443201097,33.56691651065648,0.033566916510656485
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,1/e,True,2492.5427419433922,2.4925427419433923,31.20969144448418,0.03120969144448418,31.128546527496837,0.031128546527496838,31.20969144448418,0.03120969144448418
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,1649.4785068921926,1.6494785068921927,13.60820873740954,0.013608208737409542,13.508172703345963,0.013508172703345964,13.60820873740954,0.013608208737409542
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,1739.7770506753614,1.7397770506753614,89.07876236861671,0.08907876236861671,88.98300751052693,0.08898300751052693,89.07876236861671,0.08907876236861671
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,1693.8188103940447,1.6938188103940448,12.67735011564264,0.01267735011564264,12.526346324294991,0.012526346324294991,12.67735011564264,0.01267735011564264
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_symmetric_nac_bb,Any 3 banded symmetric BB contacts,1/e,True,1711.6128966132205,1.7116128966132205,20.88461116167673,0.020884611161676732,20.60478852996789,0.02060478852996789,20.88461116167673,0.020884611161676732
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,1929.2875400871985,1.9292875400871985,13.168276500390903,0.013168276500390902,13.228081631460554,0.013228081631460555,13.228081631460554,0.013228081631460555
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,1935.9897756017974,1.9359897756017974,46.98686992713442,0.04698686992713442,47.26445918095442,0.04726445918095442,47.26445918095442,0.04726445918095442
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,1957.2336464420455,1.9572336464420454,11.759183417630084,0.011759183417630083,11.42142886508509,0.011421428865085091,11.759183417630084,0.011759183417630083
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,symmetric_nac_bb,Any 1 banded symmetric BB contact,1/e,True,1975.4599273331214,1.9754599273331215,27.507793388539994,0.027507793388539994,30.03520449950929,0.03003520449950929,30.03520449950929,0.03003520449950929
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,1272.579885847635,1.2725798858476352,15.411984693995237,0.015411984693995236,15.429371810221028,0.015429371810221028,15.429371810221028,0.015429371810221028
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,1283.4020652007805,1.2834020652007805,98.17899153200847,0.09817899153200847,92.00159596447565,0.09200159596447566,98.17899153200847,0.09817899153200847
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,1330.1866050979006,1.3301866050979005,31.767049964505986,0.03176704996450599,30.521904112349375,0.030521904112349375,31.767049964505986,0.03176704996450599
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_symmetric_nac_bb,3 consecutive banded symmetric BB contacts,1/e,True,1337.8700283114317,1.3378700283114318,11.216093782889857,0.011216093782889857,11.355379955604803,0.011355379955604804,11.355379955604803,0.011355379955604804
