group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,1000.0,0.5368223642256607,0.002016627642892306,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,2000.0,0.35502403403566823,0.0024285205605037987,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,3000.0,0.25650180517823556,0.002545442776186946,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,4000.0,0.19619785891844796,0.002504253628191353,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,5000.0,0.15560678114572987,0.002214423473119278,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,6000.0,0.1260963099238618,0.001845630039219937,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,7000.0,0.1041011242732819,0.001983689911164183,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,8000.0,0.08640828053689908,0.0016212709262832436,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,9000.0,0.07302392322413569,0.0013229943670640533,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,10000.0,0.06265962799995571,0.0010833583504724221,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,11000.0,0.05394273274848901,0.0011226085431562793,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,12000.0,0.04674977659863705,0.0013216992516818739,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,13000.0,0.04082877789861856,0.0009467661834798872,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,14000.0,0.03580091146893267,0.0008232940833790105,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,15000.0,0.03148096908582116,0.0008188229727746501,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,16000.0,0.027973917105449126,0.0008657792401380226,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,17000.0,0.025071953721150137,0.0009205975637373773,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,18000.0,0.022501149859882347,0.0008342604585601645,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,19000.0,0.020407294562362396,0.000800949882577812,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,20000.0,0.01848155988889315,0.0007740657864181233,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,21000.0,0.016745139980984116,0.000694312591466226,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,22000.0,0.015149002726593997,0.0006680862369258526,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,23000.0,0.013793173280687403,0.000666119914420817,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,24000.0,0.012522397630845207,0.0006608126124772792,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,25000.0,0.011366481950309912,0.0006204498777612436,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,26000.0,0.010411033889203239,0.0006039174135102483,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,27000.0,0.009522407108801673,0.0005753847515862587,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_symmetric_BB_contact_survival,symmetric_nac_bb,Any 1 banded symmetric N-ter BB,chain_pair,all,largest_cluster,28000.0,0.00880034989764071,0.0005578613812344693,1929.2875400871985,7231.795653337995,3503.7682781013996,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
