group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,1000.0,0.4193445047650019,0.002882521275394903,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,2000.0,0.23053723663690842,0.0029889632185283316,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,3000.0,0.14307217724279309,0.003334782299296922,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,4000.0,0.09492640613085666,0.0033157206918378516,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,5000.0,0.06671285264605314,0.002294182399439687,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,6000.0,0.0483439418844914,0.001806262653566259,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,7000.0,0.03629316644973044,0.0017007074570743424,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,8000.0,0.027910863446554746,0.0015186772095657462,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric N-ter BB,chain_pair,all,largest_cluster,9000.0,0.021716382588488677,0.0010127630326089725,1272.579885847635,3894.6201555823563,2186.9262337136247,0.8,8.0,8.0,100.0,1,60,3,partner_consecutive_v2
