group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,contact_mode,contact_label,event_unit,contact_cutoff_nm
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,4205,0.000357532273983486,430,1253.5218253308042,9095.001478430395,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,4214,0.00044541000445410005,354,1595.4234069440308,11156.773697677436,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,4191,0.00040488704752713136,396,1357.9681136258782,10501.59100419615,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,4491,0.0004746882605608361,189,2803.4101168687575,31151.250081375907,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,5752,0.0005556932229482366,202,3772.6190529366595,81614.72317925641,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,4140,0.00045842591820552164,170,3720.412370808823,36229.77081941279,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,2768,0.00046516356767684573,207,2006.7591622880075,15299.954238648705,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,3487,0.0005859918209859687,224,2131.071221858801,16899.400099336424,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,2430,0.00043311176903700006,223,1274.3250508227175,7791.569846879567,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,2772,0.0005249475052494751,220,1668.9440012377277,13718.769519103791,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,43,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,0.8
