group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,290579,3722.267642358605,30.443070069453075,2000.0,1938.311850612394,7744.971443621988,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,233490,4766.383331849288,126.51522354209321,2000.0,2040.0497245832335,9277.895141190216,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,last_40,largest_cluster,185519,3801.0263068776317,65.78995463533295,2000.0,1953.6341559622501,7889.420923476633,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_any_to_Cter_BB_contact_survival,any_nac_to_nac_bb,Any C-ter BB to C-ter BB,chain_pair,all,largest_cluster,211570,3930.3906562411153,32.87338614125262,2000.0,1995.8357869869246,8201.485120541105,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,8107,1770.44543171301,46.615876371943244,1000.0,952.5702614060488,2865.357772294565,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,7456,2186.633284213851,62.95936495934011,1000.0,1072.6533503499377,3615.3415072765993,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,last_40,largest_cluster,5251,1872.1228436190092,96.1951649314928,1000.0,958.1884999023102,3073.7477581497255,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,6130,1842.9746919746922,36.58019279748969,1000.0,961.5654255119381,2992.2617182084514,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,all,largest_cluster,41564,2142.396155319071,52.883361023416164,1000.0,1152.3961982648805,3808.639733532597,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,all,largest_cluster,33377,2685.852724747148,64.80911496366788,1000.0,1295.2627963700575,4737.314802884355,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,last_40,largest_cluster,26048,2184.5561399484072,80.58489064018367,1000.0,1181.2042056351756,3884.128680231862,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,all,largest_cluster,31021,2207.319385353525,11.796573260060594,1000.0,1182.3747028009043,3963.971567065484,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,all,largest_cluster,7434,1697.5059908184294,47.677630471719276,1000.0,932.9805639298083,2706.6491112827835,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,all,largest_cluster,6900,2082.3525317862395,54.8055621313882,1000.0,998.2089185946612,3373.177600880898,0.8,8.0,100.0,96,140,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Cter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,last_40,largest_cluster,4813,1797.983535681957,93.81281283055382,1000.0,935.4501948687088,2936.7554650549228,0.8,8.0,100.0,96,140,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Cter_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding C-ter BB,chain_pair,all,largest_cluster,5649,1787.4943737871936,26.503004506957637,1000.0,948.8580446521248,2847.583019038945,0.8,8.0,100.0,96,140,3
