group,group_label,trajectory,xtc,n_events,mean_lifetime_ps,median_lifetime_ps,max_lifetime_ps,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,contact_mode,contact_label,event_unit,contact_cutoff_nm
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,15096,2080.6173820879703,1000.0,40000.0,1115.7462472022992,3655.4838709677415,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,12994,2209.789133446206,1000.0,55000.0,1200.9401389616423,3957.491289198606,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,13474,2136.781950423037,1000.0,45000.0,1141.058348049251,3802.5396825396824,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,11261,2642.571707663618,1000.0,134000.0,1283.667705802663,4720.909090909091,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,11965,2637.5261178437104,1000.0,248000.0,1284.0165640651742,4735.207100591716,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,10151,2777.460348734115,1000.0,232000.0,1318.0878429795653,4754.347826086956,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,8182,2158.3964800782205,1000.0,47000.0,1146.5470911365392,3807.449856733524,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,9360,2293.696581196581,1000.0,69000.0,1245.341248208913,4120.3007518796985,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,8506,2101.575358570421,1000.0,46000.0,1149.4186254253698,3768.253968253968,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,9016,2194.543034605146,1000.0,64000.0,1178.3608245142436,3915.0812064965194,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,43,corresponding_nac_bb,Any 1 corresponding C-ter BB,chain_pair,0.8
