group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,1000.0,0.33640531891525643,0.007266662957382865,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,2000.0,0.160636232766465,0.008373171894906009,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,3000.0,0.09056552362418367,0.006961527505574539,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,4000.0,0.056508709811774645,0.00651486729136633,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,5000.0,0.035999243819453776,0.004834493370095993,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,6000.0,0.024224345632451304,0.0028078640130362654,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,7000.0,0.01681644957203922,0.0029251235267272998,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,8000.0,0.012745894902813248,0.0023799080870026065,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,9000.0,0.009776316243881965,0.001816925218829218,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,10000.0,0.007312330126230194,0.0016053602481412015,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,11000.0,0.00483671874271309,0.0012070104102207334,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,12000.0,0.0035926003542414635,0.0007149207155619641,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,13000.0,0.002972966225934798,0.0005947498136252987,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,14000.0,0.0019879568048160007,0.000805959955733199,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,15000.0,0.0014920645272530851,0.0005630700193538982,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,16000.0,0.0009883969881223143,0.00018160242369714361,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,17000.0,0.0007404508493408566,1.6188022089010354e-05,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,18000.0,0.0006181715634518862,0.00017839119000262262,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,19000.0,0.0004910421457046194,0.00016546936260852915,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,20000.0,0.0003702254246704283,8.094011044505177e-06,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,21000.0,0.0002494087036362371,0.00017645859682463328,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,22000.0,0.0002494087036362371,0.00017645859682463328,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,23000.0,0.0002494087036362371,0.00017645859682463328,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,24000.0,0.0002494087036362371,0.00017645859682463328,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,25000.0,0.00012227928588897041,0.00017292902450147897,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,26000.0,0.00012227928588897041,0.00017292902450147897,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,27000.0,0.00012227928588897041,0.00017292902450147897,952.5702614060488,2865.357772294565,1770.44543171301,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,1000.0,0.3806730556572721,0.007311218371280111,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,2000.0,0.20458187164154787,0.005299910624576697,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,3000.0,0.12397384596325445,0.007625594900302695,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,4000.0,0.08501361708261423,0.006451513139217229,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,5000.0,0.06194101659918566,0.003333398842245602,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,6000.0,0.04938937986755925,0.00333389121724536,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,7000.0,0.03850784354320089,0.0044161248734644575,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Cter_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding C-ter BB,chain_pair,all,largest_cluster,8000.0,0.03072020478245623,0.0033675264269953853,1072.6533503499377,3615.3415072765993,2186.633284213851,0.8,8.0,100.0,96,140,3
