group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,contact_mode,contact_label,event_unit,contact_cutoff_nm
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,9853,0.00083775636041838,474,948.5578402685036,11168.511184988458,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,10127,0.001070400359541213,425,973.3745420603165,13299.467658512182,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,8654,0.0008360516605344297,435,937.4998137318488,9410.135043621181,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,6989,0.0007387210538988384,42,68981.3632960905,650141.7218733287,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,12340,0.0011921513162693393,54,99491.83503753114,787486.1445739263,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,5772,0.0006391387439329156,43,32531.972247198886,267838.66272348387,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,6175,0.0010377113549149286,245,947.6066647293117,11501.81086846813,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,5877,0.0009876323292040544,232,942.4664147978376,11551.652508085535,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,5951,0.0010606782459009001,244,955.4607763142678,12873.426350781707,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,5614,0.0010631512606315127,248,941.5804897908117,10737.413707275784,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,33,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,0.8
