group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,n_events,mean_lifetime_ps,mean_lifetime_std_ps,median_lifetime_ps,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,251022,3894.063906587245,78.99427880827646,2000.0,2142.1647761618083,7950.849241040267,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,63714,13050.970730353458,636.7838453979141,2000.0,2533.4458070413048,15782.905367331525,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,last_40,largest_cluster,151271,3996.440928325334,69.66891708869494,2000.0,2178.0390958125713,8129.080074872702,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_any_to_NAC_BB_contact_survival,any_nac_to_nac_bb,Any NAC BB to NAC BB,chain_pair,all,largest_cluster,170533,4023.589922113839,41.328806956587776,2000.0,2221.2378724522505,8324.192534204136,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,all,largest_cluster,18813,1521.0158843744514,25.030116224896076,1000.0,874.7172325906464,2221.3618935911995,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,all,largest_cluster,8270,2999.6723966512013,158.14432230421838,1000.0,1323.6789640498946,4600.1162608605455,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,last_40,largest_cluster,11851,1519.1415212445754,10.328870585254593,1000.0,874.6142767754757,2243.0809359072737,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_three_corresponding_BB_contact_survival,three_corresponding_nac_bb,Any 3 corresponding NAC BB,chain_pair,all,largest_cluster,12356,1528.248219256652,29.034689514731955,1000.0,880.110389773008,2237.772457043382,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding NAC BB,chain_pair,all,largest_cluster,73194,1977.9393398693626,39.49877541878617,1000.0,1154.7904106877822,3417.0295113337975,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding NAC BB,chain_pair,all,largest_cluster,24457,8390.486003716433,1667.3490038097164,2000.0,1903.85288052864,9753.987893716283,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding NAC BB,chain_pair,last_40,largest_cluster,45125,1995.5973671394543,6.9222086105979015,1000.0,1162.5143325970037,3476.003455396792,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_corresponding_BB_contact_survival,corresponding_nac_bb,Any 1 corresponding NAC BB,chain_pair,all,largest_cluster,49213,2046.5736223341912,21.55986003846356,1000.0,1178.5540553716476,3558.6254689644256,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding NAC BB,chain_pair,all,largest_cluster,17245,1445.9610541225363,21.529120653367734,1000.0,848.4849004841526,1971.211888393657,0.8,8.0,100.0,61,95,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,NAC_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding NAC BB,chain_pair,all,largest_cluster,3559,2479.5752320916768,270.9926191410405,1000.0,1291.7207660001068,4433.302175040598,0.8,8.0,100.0,61,95,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding NAC BB,chain_pair,last_40,largest_cluster,10842,1443.479217746626,12.092578278715768,1000.0,846.7862440045658,1974.242654930738,0.8,8.0,100.0,61,95,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,NAC_triplet_corresponding_BB_contact_survival,triplet_corresponding_nac_bb,3 consecutive corresponding NAC BB,chain_pair,all,largest_cluster,11082,1451.5826612450762,19.190280991032935,1000.0,858.6408222396906,1974.8258404635951,0.8,8.0,100.0,61,95,3
