group,group_label,contact_mode,contact_label,threshold,threshold_reached,time_ps,time_ns,err_low_ps,err_low_ns,err_high_ps,err_high_ns,err_sym_ps,err_sym_ns
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,852625.1147036483,852.6251147036483,57494.105712169316,57.494105712169315,64758.24243338546,64.75824243338546,64758.24243338546,64.75824243338546
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,1151788.4786463664,1151.7884786463665,35035.30392524251,35.03530392524251,63206.63778430899,63.20663778430899,63206.63778430899,63.20663778430899
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,834950.2180552941,834.9502180552942,29912.589221066795,29.912589221066796,26258.806693425635,26.258806693425633,29912.589221066795,29.912589221066796
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,any_nac_to_nac_bb,Any BB-BB contact,0.1,True,814618.1390327793,814.6181390327793,52751.1538451314,52.7511538451314,74834.78094215179,74.8347809421518,74834.78094215179,74.8347809421518
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,three_corresponding_nac_bb,Any 3 corresponding BB contacts,0.1,True,21500.23133878256,21.50023133878256,1180.8948489072936,1.1808948489072937,1263.4816604127445,1.2634816604127446,1263.4816604127445,1.2634816604127446
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,three_corresponding_nac_bb,Any 3 corresponding BB contacts,0.1,True,595069.5519133736,595.0695519133736,257120.0899243272,257.1200899243272,192186.62278952147,192.18662278952146,257120.0899243272,257.1200899243272
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,three_corresponding_nac_bb,Any 3 corresponding BB contacts,0.1,True,26369.55083517994,26.36955083517994,354.87656957708896,0.35487656957708896,321.7221731647551,0.3217221731647551,354.87656957708896,0.35487656957708896
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,three_corresponding_nac_bb,Any 3 corresponding BB contacts,0.1,True,26163.8125221136,26.1638125221136,3003.1088622418174,3.0031088622418176,3139.9098675942478,3.139909867594248,3139.9098675942478,3.139909867594248
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,corresponding_nac_bb,Any 1 corresponding BB contact,0.1,True,75432.59296178028,75.43259296178027,4933.667054090736,4.933667054090736,3661.544615397943,3.661544615397943,4933.667054090736,4.933667054090736
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,corresponding_nac_bb,Any 1 corresponding BB contact,0.1,True,983627.3422881574,983.6273422881575,111052.90818221052,111.05290818221052,115688.02480113856,115.68802480113855,115688.02480113856,115.68802480113855
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,corresponding_nac_bb,Any 1 corresponding BB contact,0.1,True,97363.44798369073,97.36344798369073,4300.914462991321,4.3009144629913205,4314.848098757691,4.314848098757691,4314.848098757691,4.314848098757691
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,corresponding_nac_bb,Any 1 corresponding BB contact,0.1,True,96140.8545074124,96.1408545074124,5678.330906001909,5.678330906001909,2513.762435724959,2.5137624357249586,5678.330906001909,5.678330906001909
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,triplet_corresponding_nac_bb,3 consecutive corresponding BB contacts,0.1,True,15712.963583824525,15.712963583824525,1358.408302533975,1.358408302533975,1178.1671424306678,1.178167142430668,1358.408302533975,1.358408302533975
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,triplet_corresponding_nac_bb,3 consecutive corresponding BB contacts,0.1,True,115677.81007477938,115.67781007477937,39784.959752119496,39.7849597521195,64084.62945973192,64.08462945973191,64084.62945973192,64.08462945973191
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,triplet_corresponding_nac_bb,3 consecutive corresponding BB contacts,0.1,True,19223.60475945793,19.223604759457928,630.2346962227894,0.6302346962227894,1048.669052342506,1.048669052342506,1048.669052342506,1.048669052342506
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,triplet_corresponding_nac_bb,3 consecutive corresponding BB contacts,0.1,True,20602.19821863252,20.60219821863252,3968.049714784218,3.9680497147842178,3483.935205595375,3.483935205595375,3968.049714784218,3.9680497147842178
