group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,2419762,0.07663984947719989,2907,73765.06911172945,852625.1147036483,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,1056459,0.03662806396198105,874,197933.06375976015,1151788.4786463664,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,1275623,0.0728438292664166,1442,65967.09686062664,834950.2180552941,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_any_to_Nter_BB_contact_fluctuation_acf,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,1386056,0.07901467549938279,1400,56978.39330488081,814618.1390327793,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,55172,0.001747433745697334,1930,1700.8546607011517,21500.23133878256,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,18048,0.000625734929974409,156,51391.753167497336,595069.5519133736,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,37389,0.0021350806095861,908,1861.8908635219918,26369.55083517994,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,39688,0.0022624875482805196,870,1942.781032750626,26163.8125221136,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_corresponding_BB_contact_fluctuation_acf,corresponding_nac_bb,Any 1 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,252724,0.008004394365758229,2424,4227.095133636858,75432.59296178028,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_corresponding_BB_contact_fluctuation_acf,corresponding_nac_bb,Any 1 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,128906,0.004469247943444213,398,151192.6010933856,983627.3422881574,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_corresponding_BB_contact_fluctuation_acf,corresponding_nac_bb,Any 1 corresponding N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,155230,0.008864333441013408,1117,4922.672628636987,97363.44798369073,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_corresponding_BB_contact_fluctuation_acf,corresponding_nac_bb,Any 1 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,166325,0.009481663008157564,1097,5251.702954016424,96140.8545074124,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_triplet_corresponding_BB_contact_fluctuation_acf,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,31573157,47791,0.001513659213742864,1913,1324.0982820384559,15712.963583824525,0.8,8.0,100.0,1,60,3
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,Nter_triplet_corresponding_BB_contact_fluctuation_acf,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,28842884,3257,0.00011292213358414505,92,8656.712391035966,115677.81007477938,0.8,8.0,100.0,1,60,3
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,Nter_triplet_corresponding_BB_contact_fluctuation_acf,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,fluctuation,chain_pair,last_40,largest_cluster,17511751,31835,0.0018179221483905293,901,1408.9265426094275,19223.60475945793,0.8,8.0,100.0,1,60,3
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,Nter_triplet_corresponding_BB_contact_fluctuation_acf,triplet_corresponding_nac_bb,3 consecutive corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,17541754,34039,0.0019404558973977176,859,1530.6734606613622,20602.19821863252,0.8,8.0,100.0,1,60,3
