group,group_label,trajectory,xtc,acf_kind,n_observations,n_contact_observations,contact_probability,n_variable_pairs,t_1e_ps,t_01_ps,dt_ps,n_frames,n_chains,chain_selection,n_selected_chains,selected_chain_start,selected_chain_end,chain_filter_method,cluster_dist_cutoff_A,radius_limit_A,n_valid_chains,n_pairs,n_valid_pairs,n_contact_sites_per_pair,n_triplets_per_pair,contact_mode,contact_label,event_unit,contact_cutoff_nm
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc,fluctuation,11761176,95148,0.008090007325798032,877,4399.839079484541,78162.10253739046,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,49,1225,1176,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,72297,0.007641624843858109,731,4070.0726553662093,68724.00809362558,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,85279,0.00823869303890867,816,4213.941064294821,78676.36284851319,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700/TR_Mdvwhole/clus_centered.xtc,fluctuation,9460946,39227,0.0041462027158806316,141,124837.55686601966,1035226.6997263485,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,44,1225,946,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc,fluctuation,10351035,48150,0.004651708742169261,130,174402.760404104,1103373.2990830136,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,46,1225,1035,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G2_Wcluster_alhx700,$\mathrm{Hel}_{50}$,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re2/TR_Mdvwhole/clus_centered.xtc,fluctuation,9030903,41529,0.004598543467912345,127,146227.4687379639,850634.9093120459,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,43,1225,903,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,59240,0.009955306990309373,374,5223.005380290397,94211.34135898962,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus2/TR_Mdvwhole/clus_centered.xtc,fluctuation,5950595,49441,0.008308580906615222,382,4545.96304372318,93432.44223173491,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,35,1225,595,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_0_plus3/TR_Mdvwhole/clus_centered.xtc,fluctuation,5610561,46549,0.008296674788849101,361,5056.097904464935,102751.92467709324,1000.0,10001,50,last_40,40,10,49,largest_cluster,8.0,100.0,34,1225,561,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL1/TR_Mdvwhole/clus_centered.xtc,fluctuation,5280528,51622,0.009775916347759164,374,5184.599741973235,95614.4620687341,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,33,1225,528,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL2/TR_Mdvwhole/clus_centered.xtc,fluctuation,4060406,42592,0.010489591434945175,290,5190.739282022835,89967.59495382877,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,29,1225,406,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
G4_Onmem_wall,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,3,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Onmem/muti_chain/POPC7-POPG3/alhx_700_WALL3/TR_Mdvwhole/clus_centered.xtc,fluctuation,8200820,72111,0.00879314507573633,433,5374.497034440452,98922.39485809774,1000.0,10001,50,all,50,0,49,largest_cluster,8.0,100.0,41,1225,820,1,58,corresponding_nac_bb,Any 1 corresponding N-ter BB,chain_pair,0.8
