group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,1.0,2.220446049250313e-16,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.43082321199922363,0.005480828444190123,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.3410131923800192,0.004419376739913403,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.2877547584139752,0.002669828679605217,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.2518159714788419,0.003806660253059501,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.22462308681235463,0.003967460974193561,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.20512352609479903,0.005090085595957493,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.18934557078947492,0.004994782398810597,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.1764402741612632,0.00461582883557584,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.16513061391838948,0.006194617461334748,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,10000.0,0.15635472707506734,0.005717315831155931,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,11000.0,0.1478645073297674,0.004973083703595273,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,12000.0,0.1408465015345934,0.008208576956548523,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,13000.0,0.13487228278180538,0.0047803428717310475,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,14000.0,0.1292900621866612,0.006555727792828498,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,15000.0,0.12353873574344176,0.006146965634426074,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,16000.0,0.11966640622169784,0.005928011346994596,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,17000.0,0.11393886663998522,0.0060254319282277025,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,18000.0,0.11105009766561603,0.00595162373631905,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,19000.0,0.10789121955869067,0.005239404340625484,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,20000.0,0.10512162134130205,0.0032764269397742877,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,21000.0,0.10160805850140935,0.005541077551931797,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,22000.0,0.0983934288356172,0.00526014444312145,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,23000.0,0.0949984280689265,0.00387118411109015,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,24000.0,0.09285769333638465,0.004697954710741194,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,25000.0,0.09155632704311782,0.006464230583015668,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,26000.0,0.08984493025817186,0.0038171031286695434,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,27000.0,0.08788836427592023,0.0033933203271607044,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,28000.0,0.08642474742858948,0.00425933491061939,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,29000.0,0.08352280197988443,0.004192958898196082,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,30000.0,0.08125943854402913,0.004413861071103481,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,31000.0,0.07974569732789967,0.00412995173346458,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,32000.0,0.07706219655215148,0.002984743883688786,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,33000.0,0.07599474153278114,0.002632152265950626,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,34000.0,0.07478036717581553,0.0017076952589156604,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,35000.0,0.07245412214740475,0.0037711371079028264,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,36000.0,0.07093868815761441,0.003475692919731369,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,37000.0,0.06944940747788064,0.0044867792756493816,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,38000.0,0.06776984843397103,0.0035446730654705976,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_three_corresponding_BB_contact_fluctuation_acf,three_corresponding_nac_bb,Any 3 corresponding N-ter BB,fluctuation,chain_pair,all,largest_cluster,39000.0,0.06642256043700023,0.0038303613721580756,1700.8546607011517,21500.23133878256,0.001747433745697334,0.8,8.0,100.0,1,60,3
