group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,1000.0,0.5881127913443809,0.001646630786656587,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,2000.0,0.4168706190094175,0.001239526062014356,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,3000.0,0.31985934855462317,0.0012825022724123449,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,4000.0,0.25642655307760936,0.001549755399595238,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,5000.0,0.21141056942376044,0.0012944979281668482,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,6000.0,0.1782366152424086,0.0008063538413344243,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,7000.0,0.15300184250917415,0.000695271001551933,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,8000.0,0.13285279547014348,0.0006290055182570902,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_any_to_Nter_BB_contact_survival,any_nac_to_nac_bb,Any N-ter BB to N-ter BB,chain_pair,all,largest_cluster,9000.0,0.11640325366147482,0.0003122014411056427,2505.005012389816,10245.584998684173,4850.951851142867,0.8,8.0,100.0,1,60,3
