# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.0447+-0.0314
10000.0000 0.0179 73.5004 50.0000 36.8386 43.1410 46.7342
10001.0000 0.0176 73.2797 50.0000 36.5884 43.4291 46.3154
10002.0000 0.0156 72.9456 50.0000 36.8681 42.9390 46.0221
10003.0000 0.0124 72.7780 50.0000 37.5037 42.4952 45.6538
10004.0000 0.0096 73.1207 50.0000 38.3141 42.5154 45.5094
10005.0000 0.0090 73.0795 50.0000 38.2136 42.9556 45.1126
10006.0000 0.0089 73.1244 50.0000 38.1306 43.4171 44.8127
10007.0000 0.0093 73.3573 50.0000 38.2740 43.1704 45.3069
10008.0000 0.0091 73.4974 50.0000 38.4869 43.0212 45.4951
10009.0000 0.0100 73.5160 50.0000 38.3960 42.8293 45.7821
10010.0000 0.0083 72.8261 50.0000 38.4008 42.4114 45.0587
10011.0000 0.0077 72.5674 50.0000 38.1862 42.8285 44.4248
10012.0000 0.0055 72.4704 50.0000 38.9085 42.1255 44.3118
10013.0000 0.0042 72.1747 50.0000 39.0654 42.1259 43.6862
10014.0000 0.0035 72.0889 50.0000 39.1050 42.4900 43.1534
10015.0000 0.0033 71.8130 50.0000 39.0057 42.4161 42.8549
10016.0000 0.0046 71.9525 50.0000 38.6601 42.5922 43.2257
10017.0000 0.0052 71.9134 50.0000 38.4953 42.3652 43.5298
10018.0000 0.0071 72.0014 50.0000 38.0803 42.3112 44.0891
10019.0000 0.0067 71.9545 50.0000 38.1544 42.3176 43.9421
10020.0000 0.0087 71.9652 50.0000 37.8597 41.9017 44.6082
10021.0000 0.0096 72.0462 50.0000 37.3278 43.1281 44.0143
10022.0000 0.0078 71.7865 50.0000 37.6542 42.7572 43.6724
10023.0000 0.0080 71.9455 50.0000 37.6491 43.2344 43.4682
10024.0000 0.0081 72.2204 50.0000 37.7645 43.3238 43.7342
10025.0000 0.0081 71.8957 50.0000 37.5808 43.1879 43.4912
10026.0000 0.0075 71.9998 50.0000 37.8052 43.1344 43.5219
10027.0000 0.0083 71.8297 50.0000 37.5330 43.0000 43.6094
10028.0000 0.0077 71.6907 50.0000 37.5957 42.8531 43.4712
10029.0000 0.0078 72.0055 50.0000 37.7956 42.7902 43.8781
10030.0000 0.0096 72.0099 50.0000 37.2811 43.3544 43.7715
10031.0000 0.0099 72.1105 50.0000 37.3776 42.8059 44.3901
10032.0000 0.0091 72.0300 50.0000 37.5324 42.6854 44.2447
10033.0000 0.0068 72.2528 50.0000 38.1779 42.9192 43.8276
10034.0000 0.0093 72.1133 50.0000 37.5118 42.8537 44.2353
10035.0000 0.0068 72.0789 50.0000 38.2052 42.3168 44.1024
10036.0000 0.0070 72.1750 50.0000 38.1819 42.4873 44.1158
