# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.1295+-0.0340
10000.0000 0.1880 77.6815 48.0000 29.7245 37.7212 61.0573
10001.0000 0.1932 77.9844 48.0000 29.6598 37.6857 61.4951
10002.0000 0.1936 77.8958 48.0000 29.5960 37.6465 61.4376
10003.0000 0.1977 77.8380 48.0000 29.4341 37.4676 61.5513
10004.0000 0.1954 77.7623 48.0000 29.6236 37.3769 61.4198
10005.0000 0.1971 77.9082 48.0000 29.4283 37.5755 61.5771
10006.0000 0.1968 77.8007 48.0000 29.1423 37.7820 61.4508
10007.0000 0.2006 78.0062 48.0000 29.1961 37.6410 61.7714
10008.0000 0.1998 78.1053 48.0000 29.3612 37.6172 61.8328
10009.0000 0.1953 77.9311 48.0000 29.4577 37.6888 61.5228
10010.0000 0.2001 78.2728 48.0000 29.3547 37.7496 61.9669
10011.0000 0.1959 78.0608 48.0000 29.4071 37.8088 61.6376
10012.0000 0.1980 77.8150 48.0000 29.2236 37.6340 61.5210
10013.0000 0.1968 77.9870 48.0000 29.1957 37.8887 61.5957
10014.0000 0.1854 78.2176 48.0000 29.7620 38.3324 61.3420
10015.0000 0.1775 77.9175 48.0000 30.1118 38.2948 60.8106
10016.0000 0.1893 78.3322 48.0000 29.9079 38.0113 61.6165
10017.0000 0.1838 78.1540 48.0000 30.0328 38.1262 61.2575
10018.0000 0.1867 78.2952 48.0000 29.9773 38.0988 61.4816
10019.0000 0.1865 78.2333 48.0000 29.8145 38.2161 61.4091
10020.0000 0.1813 78.0646 48.0000 29.9715 38.2833 61.0751
10021.0000 0.1803 78.1795 48.0000 29.9713 38.4558 61.1139
10022.0000 0.1738 77.9961 48.0000 30.2909 38.4507 60.7239
10023.0000 0.1664 77.8593 48.0000 30.0241 39.1434 60.2363
10024.0000 0.1720 77.8259 48.0000 29.9726 38.7521 60.4714
10025.0000 0.1695 77.8855 48.0000 29.9839 38.9731 60.4005
10026.0000 0.1719 78.1800 48.0000 30.0591 38.9837 60.7358
10027.0000 0.1727 78.1822 48.0000 30.0375 38.9462 60.7734
10028.0000 0.1685 77.9541 48.0000 29.8140 39.2805 60.3739
10029.0000 0.1755 78.2899 48.0000 29.7344 39.1342 60.9400
10030.0000 0.1739 78.2863 48.0000 29.6753 39.3115 60.8500
10031.0000 0.1742 77.9673 48.0000 29.7127 38.9721 60.6402
10032.0000 0.1813 78.1356 48.0000 29.7449 38.5712 61.0956
10033.0000 0.1824 78.0257 48.0000 29.4592 38.6769 61.0267
10034.0000 0.1840 78.0888 48.0000 29.2150 38.8506 61.1144
10035.0000 0.1922 78.4474 48.0000 29.2559 38.5410 61.7468
10036.0000 0.1859 78.0060 48.0000 29.1104 38.7475 61.1241
10037.0000 0.1795 77.7251 48.0000 29.1457 38.9296 60.6317
10038.0000 0.1845 77.8779 48.0000 28.9974 38.8468 60.9512
10039.0000 0.1910 78.0613 48.0000 28.9281 38.6110 61.3671
10040.0000 0.1915 78.1223 48.0000 28.9769 38.5770 61.4431
10041.0000 0.1878 77.8537 48.0000 28.9823 38.6098 61.0779
10042.0000 0.1913 77.8311 48.0000 28.8877 38.4303 61.2070
10043.0000 0.1872 77.9578 48.0000 29.0358 38.6865 61.1367
10044.0000 0.1944 78.3977 48.0000 28.7107 38.8684 61.7344
