# Frame	LargestClusterSizeGlobal	IntersectionSize
10000 47 38
10001 47 38
10002 47 38
10003 47 38
10004 47 38
10005 47 38
10006 47 38
10007 47 38
10008 47 38
10009 47 38
10010 47 38
10011 47 38
10012 47 38
10013 47 38
10014 47 38
10015 47 38
10016 47 38
10017 47 38
10018 47 38
10019 47 38
10020 47 38
10021 47 38
10022 47 38
10023 47 38
10024 47 38
10025 47 38
10026 47 38
10027 47 38
10028 47 38
10029 47 38
10030 47 38
10031 47 38
10032 47 38
10033 47 38
10034 47 38
10035 47 38
10036 47 38
10037 47 38
10038 47 38
10039 47 38
10040 47 38
10041 47 38
10042 47 38
10043 47 38
10044 47 38
10045 47 38
10046 47 38
10047 47 38
10048 47 38
10049 47 38
10050 47 38
10051 47 38
10052 47 38
10053 47 38
10054 47 38
10055 47 38
10056 47 38
10057 47 38
10058 47 38
10059 47 38
10060 47 38
10061 47 38
10062 47 38
10063 47 38
10064 47 38
10065 47 38
10066 47 38
10067 47 38
10068 47 38
10069 47 38
10070 47 38
10071 47 38
10072 47 38
10073 47 38
10074 47 38
10075 47 38
10076 47 38
10077 47 38
10078 47 38
10079 47 38
10080 47 38
10081 47 38
10082 47 38
10083 47 38
10084 47 38
10085 47 38
10086 47 38
10087 47 38
10088 47 38
10089 47 38
10090 47 38
10091 47 38
10092 47 38
10093 47 38
10094 47 38
10095 47 38
10096 47 38
10097 47 38
10098 47 38
10099 47 38
10100 47 38
10101 47 38
10102 47 38
10103 47 38
10104 47 38
10105 47 38
10106 47 38
10107 47 38
10108 47 38
10109 47 38
10110 47 38
10111 47 38
10112 47 38
10113 47 38
10114 47 38
10115 47 38
10116 47 38
10117 47 38
10118 47 38
10119 47 38
10120 47 38
10121 47 38
10122 47 38
10123 47 38
10124 47 38
10125 47 38
10126 47 38
10127 47 38
10128 47 38
10129 47 38
10130 47 38
10131 47 38
10132 47 38
10133 47 38
10134 47 38
10135 47 38
10136 47 38
10137 47 38
10138 47 38
10139 47 38
10140 47 38
10141 47 38
10142 47 38
10143 47 38
10144 47 38
10145 47 38
10146 47 38
10147 47 38
10148 47 38
10149 47 38
10150 47 38
10151 47 38
10152 47 38
10153 47 38
10154 47 38
10155 47 38
10156 47 38
10157 47 38
10158 47 38
10159 47 38
10160 47 38
10161 47 38
10162 48 38
10163 48 38
10164 47 38
10165 47 38
10166 47 38
10167 47 38
10168 47 38
10169 47 38
10170 47 38
10171 47 38
10172 47 38
10173 47 38
10174 47 38
10175 47 38
10176 47 38
10177 47 38
10178 47 38
10179 47 38
10180 47 38
10181 47 38
10182 47 38
10183 48 38
10184 47 38
10185 48 38
10186 48 38
10187 47 38
10188 47 38
10189 48 38
10190 49 39
10191 49 39
10192 49 39
10193 49 39
10194 48 38
10195 48 38
10196 48 38
10197 48 38
10198 48 38
10199 48 38
10200 48 38
10201 49 39
10202 49 39
10203 49 39
10204 49 39
10205 49 39
10206 49 39
10207 49 39
10208 47 38
10209 47 38
10210 47 38
10211 47 38
10212 48 38
10213 48 38
10214 47 38
10215 47 38
10216 47 38
10217 48 38
10218 48 38
10219 48 38
10220 48 38
10221 47 38
10222 47 38
10223 48 39
10224 48 39
10225 49 39
10226 49 39
10227 49 39
10228 49 39
10229 49 39
10230 49 39
10231 49 39
10232 49 39
10233 48 38
10234 48 38
10235 48 38
10236 48 38
10237 48 38
10238 48 38
10239 48 38
10240 48 38
10241 48 38
10242 48 38
10243 48 38
10244 48 38
10245 48 38
10246 48 38
10247 48 38
10248 48 38
10249 48 38
10250 48 38
10251 48 38
10252 48 38
10253 48 38
10254 48 38
10255 48 38
10256 48 38
10257 48 38
10258 48 38
10259 48 38
10260 48 38
10261 48 38
10262 48 38
10263 48 38
10264 48 38
10265 48 38
10266 48 38
10267 48 38
10268 48 38
10269 48 38
10270 48 38
10271 49 39
10272 49 39
10273 49 39
10274 49 39
10275 49 39
10276 49 39
10277 48 38
10278 48 38
10279 48 38
10280 47 38
10281 48 38
10282 48 38
10283 48 38
10284 49 39
10285 48 38
10286 48 38
10287 47 38
10288 49 39
10289 48 38
10290 48 38
10291 48 38
10292 48 38
10293 48 38
10294 48 38
10295 48 38
10296 48 38
10297 48 38
10298 48 38
10299 48 38
10300 48 38
10301 48 38
10302 48 38
10303 48 38
10304 48 38
10305 48 38
10306 48 38
10307 48 38
10308 48 38
10309 48 38
10310 48 38
10311 48 38
10312 48 38
10313 48 38
10314 48 38
10315 48 38
10316 48 38
10317 48 38
10318 48 38
10319 48 38
10320 48 38
10321 48 38
10322 48 38
10323 48 38
10324 48 38
10325 48 38
10326 48 38
10327 48 38
10328 48 38
10329 48 38
10330 48 38
10331 48 38
10332 48 38
10333 48 38
10334 48 38
10335 48 38
10336 48 38
10337 48 38
10338 48 38
10339 48 38
10340 48 38
10341 48 38
10342 48 38
10343 48 38
10344 48 38
10345 48 38
10346 48 38
10347 48 38
10348 48 38
10349 48 38
10350 48 38
10351 48 38
10352 48 38
10353 48 38
10354 48 38
10355 48 38
10356 48 38
10357 48 38
10358 48 38
10359 48 38
10360 48 38
10361 48 38
10362 48 38
10363 48 38
10364 48 38
10365 48 38
10366 48 38
10367 48 38
10368 48 38
10369 48 38
10370 48 38
10371 48 38
10372 48 38
10373 48 38
10374 48 38
10375 48 38
10376 48 38
10377 48 38
10378 48 38
10379 48 38
10380 48 38
10381 48 38
10382 48 38
10383 48 38
10384 48 38
10385 48 38
10386 48 38
10387 48 38
10388 48 38
10389 48 38
10390 48 38
10391 48 38
10392 48 38
10393 48 38
10394 48 38
10395 48 38
10396 48 38
10397 48 38
10398 48 38
10399 48 38
10400 48 38
10401 48 38
10402 48 38
10403 48 38
10404 48 38
10405 48 38
10406 48 38
10407 48 38
10408 48 38
10409 48 38
10410 48 38
10411 48 38
10412 48 38
10413 48 38
10414 48 38
10415 48 38
10416 48 38
10417 48 38
10418 48 38
10419 48 38
10420 48 38
10421 48 38
10422 48 38
10423 48 38
10424 48 38
10425 48 38
10426 48 38
10427 48 38
10428 48 38
10429 48 38
10430 48 38
10431 48 38
10432 48 38
10433 48 38
10434 48 38
10435 48 38
10436 48 38
10437 48 38
10438 48 38
10439 48 38
10440 48 38
10441 48 38
10442 48 38
10443 48 38
10444 48 38
10445 48 38
10446 48 38
10447 48 38
10448 48 38
10449 48 38
10450 48 38
10451 48 38
10452 48 38
10453 48 38
10454 48 38
10455 48 38
10456 48 38
10457 48 38
10458 48 38
10459 48 38
10460 48 38
10461 48 38
10462 48 38
10463 48 38
10464 48 38
10465 48 38
10466 48 38
10467 48 38
10468 48 38
10469 48 38
10470 48 38
10471 48 38
10472 48 38
10473 48 38
10474 48 38
10475 48 38
10476 48 38
10477 48 38
10478 48 38
10479 48 38
10480 48 38
10481 48 38
10482 48 38
10483 48 38
10484 48 38
10485 48 38
10486 48 38
10487 48 38
10488 48 38
10489 48 38
10490 48 38
10491 48 38
10492 48 38
10493 48 38
10494 48 38
10495 48 38
10496 48 38
10497 48 38
10498 48 38
