group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,fit_density_mg_ml,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,deltaG_fit_kj_mol
$\text{IDP}_{50}$,0,0.14775175094604492,524.2890500844215,8.101036429730607,523.3077059872387,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,1,0.4432552528381347,527.3648314263938,11.096307924912272,523.125523176624,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,2,0.7387587547302246,530.3304268379918,12.309462087655346,522.891770803954,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,3,1.0342622566223143,528.1862663199139,14.515518004915869,522.5919189434001,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,4,1.3297657585144043,526.5378007580404,15.323281728733477,522.2073874844457,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,5,1.625269260406494,523.526384334124,13.286807847300215,521.7144453402686,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,6,1.9207727622985835,519.8686822697736,10.437495697778271,521.0828286823719,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,7,2.216276264190674,517.8491173175697,8.779677220669571,520.2740183479295,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,8,2.511779766082763,516.1051594421251,8.779278237641021,519.2391118288147,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,9,2.807283267974854,513.7845048808709,6.89111118257087,517.916226382433,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,10,3.102786769866943,511.7683888941153,6.349123777916423,516.2273823648866,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,11,3.398290271759033,509.0067424474089,5.899921919452396,514.074848735237,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,12,3.693793773651123,506.29873992764243,5.23564137361101,511.3369992378962,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,13,3.989297275543213,503.2158827705708,4.298710509382511,507.8638471651208,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,14,4.2848007774353025,499.6803996809712,3.1535990487053938,503.47262382146306,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,15,4.580304279327392,494.79633019744625,2.470230196170065,497.9440690408495,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,16,4.875807781219482,488.08899449738027,1.5640024337024592,491.02053387788476,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,17,5.171311283111573,479.3537490156137,1.204733068341317,482.40755265164796,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,18,5.4668147850036615,468.58885760550794,1.6095385646288851,471.78115772550234,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,19,5.762318286895751,454.87666031476675,2.39151153929401,458.8037014304264,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,20,6.057821788787842,438.351362537203,3.5575488612067065,443.15095413246763,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,21,6.353325290679932,419.32077523110405,4.638579924671227,424.5522146963891,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,22,6.648828792572021,397.54269364071865,5.612359091469576,402.84248900028547,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,23,6.944332294464109,373.201279253068,6.051999623176859,378.0211798338888,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,24,7.239835796356201,346.418439782942,6.142860893224424,350.30587285047045,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,25,7.535339298248291,317.75100272004124,6.237419904181266,320.16491836916344,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,26,7.830842800140379,287.75635299080506,5.964858979472087,288.3120852765977,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,27,8.12634630203247,257.16206512960883,5.517472786114695,255.65355882311155,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,28,8.421849803924559,226.96242753346777,4.664769603596833,223.1915618992156,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,29,8.71735330581665,197.59190441885042,3.6119739254774124,191.9045687543462,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,30,9.01285680770874,169.62083778615357,2.496919622721318,162.63341054564745,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,31,9.308360309600829,143.54509325871732,1.407577161365594,136.00017318059884,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,32,9.60386381149292,119.92498244794565,0.3118793749511068,112.374074086152,523.9500121811324,0.06886782753112858,-23.033590768873527
