group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,0.0,523.383110567713
$\text{IDP}_{50}$,0.050100200400801605,523.3585886965614
$\text{IDP}_{50}$,0.10020040080160321,523.3330073590546
$\text{IDP}_{50}$,0.15030060120240482,523.3063208915157
$\text{IDP}_{50}$,0.20040080160320642,523.2784816718998
$\text{IDP}_{50}$,0.25050100200400804,523.2494400366695
$\text{IDP}_{50}$,0.30060120240480964,523.2191441942178
$\text{IDP}_{50}$,0.35070140280561124,523.1875401347044
$\text{IDP}_{50}$,0.40080160320641284,523.1545715361594
$\text{IDP}_{50}$,0.45090180360721444,523.1201796667142
$\text{IDP}_{50}$,0.5010020040080161,523.0843032828033
$\text{IDP}_{50}$,0.5511022044088176,523.0468785231831
$\text{IDP}_{50}$,0.6012024048096193,523.0078387986066
$\text{IDP}_{50}$,0.6513026052104208,522.9671146769853
$\text{IDP}_{50}$,0.7014028056112225,522.9246337638681
$\text{IDP}_{50}$,0.751503006012024,522.8803205780582
$\text{IDP}_{50}$,0.8016032064128257,522.8340964221863
$\text{IDP}_{50}$,0.8517034068136273,522.7858792480486
$\text{IDP}_{50}$,0.9018036072144289,522.7355835165201
$\text{IDP}_{50}$,0.9519038076152305,522.6831200518378
$\text{IDP}_{50}$,1.0020040080160322,522.6283958900533
$\text{IDP}_{50}$,1.0521042084168337,522.5713141214392
$\text{IDP}_{50}$,1.1022044088176353,522.5117737266366
$\text{IDP}_{50}$,1.1523046092184368,522.4496694063185
$\text{IDP}_{50}$,1.2024048096192386,522.3848914041429
$\text{IDP}_{50}$,1.25250501002004,522.3173253227624
$\text{IDP}_{50}$,1.3026052104208417,522.2468519326524
$\text{IDP}_{50}$,1.3527054108216434,522.1733469735135
$\text{IDP}_{50}$,1.402805611222445,522.0966809480026
$\text{IDP}_{50}$,1.4529058116232465,522.0167189075381
$\text{IDP}_{50}$,1.503006012024048,521.9333202299248
$\text{IDP}_{50}$,1.5531062124248498,521.8463383885357
$\text{IDP}_{50}$,1.6032064128256514,521.7556207127917
$\text{IDP}_{50}$,1.653306613226453,521.6610081396668
$\text{IDP}_{50}$,1.7034068136272547,521.5623349559569
$\text{IDP}_{50}$,1.7535070140280562,521.4594285310368
$\text{IDP}_{50}$,1.8036072144288577,521.3521090398392
$\text{IDP}_{50}$,1.8537074148296593,521.2401891757809
$\text{IDP}_{50}$,1.903807615230461,521.1234738533706
$\text{IDP}_{50}$,1.9539078156312626,521.0017599002273
$\text{IDP}_{50}$,2.0040080160320644,520.8748357382485
$\text{IDP}_{50}$,2.0541082164328657,520.7424810536667
$\text{IDP}_{50}$,2.1042084168336674,520.6044664557405
$\text{IDP}_{50}$,2.154308617234469,520.4605531238376
$\text{IDP}_{50}$,2.2044088176352705,520.3104924426714
$\text{IDP}_{50}$,2.2545090180360723,520.1540256254666
$\text{IDP}_{50}$,2.3046092184368736,519.9908833248462
$\text{IDP}_{50}$,2.3547094188376754,519.8207852312429
$\text{IDP}_{50}$,2.404809619238477,519.6434396586606
$\text{IDP}_{50}$,2.4549098196392785,519.4585431176331
$\text{IDP}_{50}$,2.50501002004008,519.2657798752496
$\text{IDP}_{50}$,2.555110220440882,519.0648215021495
$\text{IDP}_{50}$,2.6052104208416833,518.8553264064144
$\text{IDP}_{50}$,2.655310621242485,518.63693935433
$\text{IDP}_{50}$,2.705410821643287,518.4092909780222
$\text{IDP}_{50}$,2.755511022044088,518.171997270025
$\text{IDP}_{50}$,2.80561122244489,517.9246590648818
$\text{IDP}_{50}$,2.8557114228456917,517.6668615079436
$\text{IDP}_{50}$,2.905811623246493,517.3981735115856
$\text{IDP}_{50}$,2.9559118236472948,517.1181471991339
$\text{IDP}_{50}$,3.006012024048096,516.8263173368697
