group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,curve_density_mg_ml
$\text{IDP}_{50}$,0,0.14775175094604492,524.2890500844215,8.101036429730607,522.7411649234643
$\text{IDP}_{50}$,1,0.4432552528381347,527.3648314263938,11.096307924912272,522.5626136761999
$\text{IDP}_{50}$,2,0.7387587547302246,530.3304268379918,12.309462087655346,522.3333999030918
$\text{IDP}_{50}$,3,1.0342622566223143,528.1862663199139,14.515518004915869,522.0392137583051
$\text{IDP}_{50}$,4,1.3297657585144043,526.5378007580404,15.323281728733477,521.6617457888558
$\text{IDP}_{50}$,5,1.625269260406494,523.526384334124,13.286807847300215,521.1775963957895
$\text{IDP}_{50}$,6,1.9207727622985835,519.8686822697736,10.437495697778271,520.5569056631188
$\text{IDP}_{50}$,7,2.216276264190674,517.8491173175697,8.779677220669571,519.7616434237495
$\text{IDP}_{50}$,8,2.511779766082763,516.1051594421251,8.779278237641021,518.743494328272
$\text{IDP}_{50}$,9,2.807283267974854,513.7845048808709,6.89111118257087,517.4412732270391
$\text{IDP}_{50}$,10,3.102786769866943,511.7683888941153,6.349123777916423,515.7778178337518
$\text{IDP}_{50}$,11,3.398290271759033,509.0067424474089,5.899921919452396,513.6563371552957
$\text{IDP}_{50}$,12,3.693793773651123,506.29873992764243,5.23564137361101,510.9562588602309
$\text{IDP}_{50}$,13,3.989297275543213,503.2158827705708,4.298710509382511,507.52873569245776
$\text{IDP}_{50}$,14,4.2848007774353025,499.6803996809712,3.1535990487053938,503.192165328388
$\text{IDP}_{50}$,15,4.580304279327392,494.79633019744625,2.470230196170065,497.7283784180859
$\text{IDP}_{50}$,16,4.875807781219482,488.08899449738027,1.5640024337024592,490.8805797029082
$\text{IDP}_{50}$,17,5.171311283111573,479.3537490156137,1.204733068341317,482.3546861686216
$\text{IDP}_{50}$,18,5.4668147850036615,468.58885760550794,1.6095385646288851,471.826331827327
$\text{IDP}_{50}$,19,5.762318286895751,454.87666031476675,2.39151153929401,458.9563214443688
$\text{IDP}_{50}$,20,6.057821788787842,438.351362537203,3.5575488612067065,443.4173579697689
$\text{IDP}_{50}$,21,6.353325290679932,419.32077523110405,4.638579924671227,424.93388778557596
$\text{IDP}_{50}$,22,6.648828792572021,397.54269364071865,5.612359091469576,403.3342784956768
$\text{IDP}_{50}$,23,6.944332294464109,373.201279253068,6.051999623176859,378.60994773235063
$\text{IDP}_{50}$,24,7.239835796356201,346.418439782942,6.142860893224424,350.97013646510277
$\text{IDP}_{50}$,25,7.535339298248291,317.75100272004124,6.237419904181266,320.87595637426574
$\text{IDP}_{50}$,26,7.830842800140379,287.75635299080506,5.964858979472087,289.03666117581025
$\text{IDP}_{50}$,27,8.12634630203247,257.16206512960883,5.517472786114695,256.35788299226164
$\text{IDP}_{50}$,28,8.421849803924559,226.96242753346777,4.664769603596833,223.84559788176412
$\text{IDP}_{50}$,29,8.71735330581665,197.59190441885042,3.6119739254774124,192.48557808950835
$\text{IDP}_{50}$,30,9.01285680770874,169.62083778615357,2.496919622721318,163.12787748895076
$\text{IDP}_{50}$,31,9.308360309600829,143.54509325871732,1.407577161365594,136.40383907965668
$\text{IDP}_{50}$,32,9.60386381149292,119.92498244794565,0.3118793749511068,112.69042722294122
$\text{IDP}_{50}$,33,9.899367313385008,98.80213117882495,0.43032790235699037,92.12048874061892
$\text{IDP}_{50}$,34,10.194870815277099,80.27583610267384,1.140268243407033,74.6255560163525
$\text{IDP}_{50}$,35,10.49037431716919,64.44379539074264,1.5687952562564595,59.99365323092758
$\text{IDP}_{50}$,36,10.785877819061279,51.23786387855376,1.823415857920184,47.927096350723104
$\text{IDP}_{50}$,37,11.08138132095337,40.37050832097702,1.9074122922092527,38.09096556721053
$\text{IDP}_{50}$,38,11.376884822845458,31.520024612175874,1.8587834837955144,30.148577343921175
$\text{IDP}_{50}$,39,11.672388324737549,24.458306117233253,1.7283057861592688,23.78424458412246
$\text{IDP}_{50}$,40,11.96789182662964,18.90391813148995,1.5236466191594518,18.715642247745762
$\text{IDP}_{50}$,41,12.263395328521728,14.548525824128172,1.3239765643629275,14.698671468421054
$\text{IDP}_{50}$,42,12.558898830413819,11.19630215294832,1.1325747567789095,11.527466925703692
$\text{IDP}_{50}$,43,12.854402332305906,8.605947212109317,0.9365678553791577,9.031612962973128
$\text{IDP}_{50}$,44,13.149905834197998,6.62153447278024,0.7720158518274505,7.072017340148193
$\text{IDP}_{50}$,45,13.445409336090085,5.115494561532151,0.613788459237849,5.536371720434715
$\text{IDP}_{50}$,46,13.740912837982176,3.9640966435355787,0.4896570311784739,4.334741977400995
$\text{IDP}_{50}$,47,14.036416339874268,3.077364906847972,0.3838446996784485,3.395568890424954
$\text{IDP}_{50}$,48,14.331919841766355,2.400913186951073,0.2971803591281098,2.6621938969484518
$\text{IDP}_{50}$,49,14.627423343658446,1.880322130222399,0.2241871206456849,2.089927214039278
$\text{IDP}_{50}$,50,14.922926845550535,1.4850906702738038,0.17509536498477885,1.6436236068512926
$\text{IDP}_{50}$,51,15.218430347442625,1.183472294974924,0.1444775533622599,1.2957072781671286
$\text{IDP}_{50}$,52,15.513933849334716,0.950778263947477,0.12130835515000034,1.0245801096639298
$\text{IDP}_{50}$,53,15.809437351226805,0.7632145950601581,0.10012059067871058,0.813349263753139
$\text{IDP}_{50}$,54,16.104940853118897,0.6209105949225879,0.08943029073149689,0.6488163167196603
$\text{IDP}_{50}$,55,16.400444355010983,0.5108602499014431,0.07863026265590685,0.5206779231398286
$\text{IDP}_{50}$,56,16.695947856903075,0.4210023858829044,0.07093596433280347,0.420896010024137
$\text{IDP}_{50}$,57,16.991451358795167,0.35204425050460125,0.06448693552198208,0.3432029107966059
$\text{IDP}_{50}$,58,17.286954860687253,0.29691469903088574,0.05827014842339373,0.28271335208143
$\text{IDP}_{50}$,59,17.582458362579345,0.2519501633270142,0.054530348518060066,0.23562071981325516
$\text{IDP}_{50}$,60,17.877961864471434,0.2196322051295249,0.052570373692736566,0.19895960003867685
$\text{IDP}_{50}$,61,18.173465366363523,0.18970530526606902,0.049430831597886485,0.17042031566882088
$\text{IDP}_{50}$,62,18.468968868255615,0.16680704655180842,0.047389721228356746,0.14820418412273284
$\text{IDP}_{50}$,63,18.764472370147704,0.14883888043961319,0.045965899582870694,0.13091062187675107
$\text{IDP}_{50}$,64,19.059975872039793,0.13215094098610689,0.04557872954213666,0.11744912927173345
$\text{IDP}_{50}$,65,19.355479373931882,0.11896782045664885,0.04598302167054726,0.10697069688762895
$\text{IDP}_{50}$,66,19.650982875823974,0.10804586247031221,0.04732623164920916,0.09881436273110467
$\text{IDP}_{50}$,67,19.946486377716063,0.10008893879361876,0.0491239253978521,0.09246558274418248
$\text{IDP}_{50}$,68,20.241989879608152,0.09358758707647657,0.04959545983929054,0.08752380878996746
$\text{IDP}_{50}$,69,20.537493381500244,0.08788503288526751,0.049920199073839405,0.08367724093216111
$\text{IDP}_{50}$,70,20.832996883392333,0.08272877099320951,0.05083828852143123,0.08068316849028179
$\text{IDP}_{50}$,71,21.128500385284422,0.07851926908715076,0.05188851676496813,0.07835266396085672
$\text{IDP}_{50}$,72,21.424003887176514,0.07568726271319208,0.05145316887671973,0.07653866673177845
$\text{IDP}_{50}$,73,21.719507389068603,0.07361448996229752,0.05232160290320126,0.07512670630461571
$\text{IDP}_{50}$,74,22.015010890960692,0.06995000680171566,0.05152363700906732,0.07402768063241183
$\text{IDP}_{50}$,75,22.31051439285278,0.0674544844432284,0.05097377021032886,0.07317223445954824
$\text{IDP}_{50}$,76,22.606017894744873,0.06435755937178722,0.04870771002268834,0.07250638327212755
