group,plot_label,replicate,deltaG_kj_mol
$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,1,-33.87588518114326
$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,2,-23.13187147443624
$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,3,-21.229442916731973
$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,1,-21.57028236318527
$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,2,-21.060762332078063
$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,3,-19.526308950335697
$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,1,-19.412388530403636
$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,2,-18.864402761844353
$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,3,-18.01783715902229
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,-16.36760225011599
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,-14.077739064970109
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,3,-17.768701256639783
