phase,group,plot_label,replicate,concentration_mg_ml
dense,$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,1,552.258402744202
dense,$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,2,527.1550826003798
dense,$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,3,510.281657081148
dense,$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,1,615.6070430174789
dense,$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,2,620.2482240785823
dense,$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,3,623.221033557274
dense,$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,1,535.2856965883617
dense,$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,2,500.6965908088569
dense,$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,3,493.97038953124877
dense,$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,551.3600171645375
dense,$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,521.6129058568459
dense,$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,3,585.0174865883747
dilute,$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,1,0.0010811572386830101
dilute,$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,2,0.06669666884288179
dilute,$\text{IDP}_{50}$,$\mathrm{IDP}_{50}$,3,0.13506545409174067
dilute,$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,1,0.14275942187064958
dilute,$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,2,0.17527636763118892
dilute,$\text{Hel}_{50}$,$\mathrm{Hel}_{50}$,3,0.31942057591351863
dilute,$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,1,0.28674943879464543
dilute,$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,2,0.3317644691714572
dilute,$\text{IDP}_{50}$-Mem,$\mathrm{IDP}_{50}$-Mem,3,0.45457613080294273
dilute,$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,1,0.9625287029813598
dilute,$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,2,2.2140120035028135
dilute,$\text{Hel}_{10}\text{IDP}_{40}$-Mem,$\mathrm{Hel}_{10}\mathrm{IDP}_{40}$-Mem,3,0.5930006717941355
