dataset,replicate,cos_left,cos_right,count
Hel50,rep1,-1.0,-0.95,2726
Hel50,rep1,-0.95,-0.9,2319
Hel50,rep1,-0.9,-0.85,2965
Hel50,rep1,-0.85,-0.8,2753
Hel50,rep1,-0.8,-0.75,2079
Hel50,rep1,-0.75,-0.7,1505
Hel50,rep1,-0.7,-0.6499999999999999,1424
Hel50,rep1,-0.6499999999999999,-0.6,1367
Hel50,rep1,-0.6,-0.55,1433
Hel50,rep1,-0.55,-0.5,1374
Hel50,rep1,-0.5,-0.44999999999999996,1348
Hel50,rep1,-0.44999999999999996,-0.3999999999999999,1278
Hel50,rep1,-0.3999999999999999,-0.35,1292
Hel50,rep1,-0.35,-0.29999999999999993,1160
Hel50,rep1,-0.29999999999999993,-0.25,968
Hel50,rep1,-0.25,-0.19999999999999996,918
Hel50,rep1,-0.19999999999999996,-0.1499999999999999,836
Hel50,rep1,-0.1499999999999999,-0.09999999999999998,862
Hel50,rep1,-0.09999999999999998,-0.04999999999999993,943
Hel50,rep1,-0.04999999999999993,0.0,962
Hel50,rep1,0.0,0.050000000000000044,903
Hel50,rep1,0.050000000000000044,0.10000000000000009,960
Hel50,rep1,0.10000000000000009,0.15000000000000013,1047
Hel50,rep1,0.15000000000000013,0.20000000000000018,1072
Hel50,rep1,0.20000000000000018,0.25,1245
Hel50,rep1,0.25,0.30000000000000004,1218
Hel50,rep1,0.30000000000000004,0.3500000000000001,1265
Hel50,rep1,0.3500000000000001,0.40000000000000013,1266
Hel50,rep1,0.40000000000000013,0.4500000000000002,1341
Hel50,rep1,0.4500000000000002,0.5,1447
Hel50,rep1,0.5,0.55,1361
Hel50,rep1,0.55,0.6000000000000001,1261
Hel50,rep1,0.6000000000000001,0.6500000000000001,1107
Hel50,rep1,0.6500000000000001,0.7000000000000002,1046
Hel50,rep1,0.7000000000000002,0.75,1106
Hel50,rep1,0.75,0.8,1105
Hel50,rep1,0.8,0.8500000000000001,1154
Hel50,rep1,0.8500000000000001,0.9000000000000001,1216
Hel50,rep1,0.9000000000000001,0.9500000000000002,1174
Hel50,rep1,0.9500000000000002,1.0,1708
Hel50,rep2,-1.0,-0.95,2314
Hel50,rep2,-0.95,-0.9,1418
Hel50,rep2,-0.9,-0.85,1460
Hel50,rep2,-0.85,-0.8,1514
Hel50,rep2,-0.8,-0.75,1503
Hel50,rep2,-0.75,-0.7,1520
Hel50,rep2,-0.7,-0.6499999999999999,1429
Hel50,rep2,-0.6499999999999999,-0.6,1440
Hel50,rep2,-0.6,-0.55,1428
Hel50,rep2,-0.55,-0.5,1264
Hel50,rep2,-0.5,-0.44999999999999996,1211
Hel50,rep2,-0.44999999999999996,-0.3999999999999999,1219
Hel50,rep2,-0.3999999999999999,-0.35,1283
Hel50,rep2,-0.35,-0.29999999999999993,1228
Hel50,rep2,-0.29999999999999993,-0.25,1139
Hel50,rep2,-0.25,-0.19999999999999996,1068
Hel50,rep2,-0.19999999999999996,-0.1499999999999999,1078
Hel50,rep2,-0.1499999999999999,-0.09999999999999998,1125
Hel50,rep2,-0.09999999999999998,-0.04999999999999993,1073
Hel50,rep2,-0.04999999999999993,0.0,1087
Hel50,rep2,0.0,0.050000000000000044,1141
Hel50,rep2,0.050000000000000044,0.10000000000000009,1069
Hel50,rep2,0.10000000000000009,0.15000000000000013,1067
Hel50,rep2,0.15000000000000013,0.20000000000000018,1002
Hel50,rep2,0.20000000000000018,0.25,1048
Hel50,rep2,0.25,0.30000000000000004,924
Hel50,rep2,0.30000000000000004,0.3500000000000001,994
Hel50,rep2,0.3500000000000001,0.40000000000000013,950
Hel50,rep2,0.40000000000000013,0.4500000000000002,922
Hel50,rep2,0.4500000000000002,0.5,883
Hel50,rep2,0.5,0.55,870
Hel50,rep2,0.55,0.6000000000000001,918
Hel50,rep2,0.6000000000000001,0.6500000000000001,1059
Hel50,rep2,0.6500000000000001,0.7000000000000002,1270
Hel50,rep2,0.7000000000000002,0.75,1465
Hel50,rep2,0.75,0.8,1542
Hel50,rep2,0.8,0.8500000000000001,1530
Hel50,rep2,0.8500000000000001,0.9000000000000001,1538
Hel50,rep2,0.9000000000000001,0.9500000000000002,1775
Hel50,rep2,0.9500000000000002,1.0,1840
Hel50,rep3,-1.0,-0.95,3806
Hel50,rep3,-0.95,-0.9,1482
Hel50,rep3,-0.9,-0.85,1205
Hel50,rep3,-0.85,-0.8,1461
Hel50,rep3,-0.8,-0.75,1375
Hel50,rep3,-0.75,-0.7,1073
Hel50,rep3,-0.7,-0.6499999999999999,923
Hel50,rep3,-0.6499999999999999,-0.6,886
Hel50,rep3,-0.6,-0.55,856
Hel50,rep3,-0.55,-0.5,999
Hel50,rep3,-0.5,-0.44999999999999996,976
Hel50,rep3,-0.44999999999999996,-0.3999999999999999,928
Hel50,rep3,-0.3999999999999999,-0.35,987
Hel50,rep3,-0.35,-0.29999999999999993,964
Hel50,rep3,-0.29999999999999993,-0.25,992
Hel50,rep3,-0.25,-0.19999999999999996,1016
Hel50,rep3,-0.19999999999999996,-0.1499999999999999,1145
Hel50,rep3,-0.1499999999999999,-0.09999999999999998,1233
Hel50,rep3,-0.09999999999999998,-0.04999999999999993,1197
Hel50,rep3,-0.04999999999999993,0.0,1071
Hel50,rep3,0.0,0.050000000000000044,1060
Hel50,rep3,0.050000000000000044,0.10000000000000009,1102
Hel50,rep3,0.10000000000000009,0.15000000000000013,1031
Hel50,rep3,0.15000000000000013,0.20000000000000018,1135
Hel50,rep3,0.20000000000000018,0.25,1141
Hel50,rep3,0.25,0.30000000000000004,1242
Hel50,rep3,0.30000000000000004,0.3500000000000001,1273
Hel50,rep3,0.3500000000000001,0.40000000000000013,1425
Hel50,rep3,0.40000000000000013,0.4500000000000002,1510
Hel50,rep3,0.4500000000000002,0.5,1419
Hel50,rep3,0.5,0.55,1458
Hel50,rep3,0.55,0.6000000000000001,1488
Hel50,rep3,0.6000000000000001,0.6500000000000001,1257
Hel50,rep3,0.6500000000000001,0.7000000000000002,1236
Hel50,rep3,0.7000000000000002,0.75,1060
Hel50,rep3,0.75,0.8,936
Hel50,rep3,0.8,0.8500000000000001,969
Hel50,rep3,0.8500000000000001,0.9000000000000001,1121
Hel50,rep3,0.9000000000000001,0.9500000000000002,1337
Hel50,rep3,0.9500000000000002,1.0,1635
IDP50,rep1,-1.0,-0.95,1526
IDP50,rep1,-0.95,-0.9,1543
IDP50,rep1,-0.9,-0.85,1591
IDP50,rep1,-0.85,-0.8,1624
IDP50,rep1,-0.8,-0.75,1585
IDP50,rep1,-0.75,-0.7,1673
IDP50,rep1,-0.7,-0.6499999999999999,1677
IDP50,rep1,-0.6499999999999999,-0.6,1639
IDP50,rep1,-0.6,-0.55,1609
IDP50,rep1,-0.55,-0.5,1612
IDP50,rep1,-0.5,-0.44999999999999996,1665
IDP50,rep1,-0.44999999999999996,-0.3999999999999999,1629
IDP50,rep1,-0.3999999999999999,-0.35,1649
IDP50,rep1,-0.35,-0.29999999999999993,1618
IDP50,rep1,-0.29999999999999993,-0.25,1726
IDP50,rep1,-0.25,-0.19999999999999996,1630
IDP50,rep1,-0.19999999999999996,-0.1499999999999999,1643
IDP50,rep1,-0.1499999999999999,-0.09999999999999998,1630
IDP50,rep1,-0.09999999999999998,-0.04999999999999993,1526
IDP50,rep1,-0.04999999999999993,0.0,1680
IDP50,rep1,0.0,0.050000000000000044,1615
IDP50,rep1,0.050000000000000044,0.10000000000000009,1614
IDP50,rep1,0.10000000000000009,0.15000000000000013,1608
IDP50,rep1,0.15000000000000013,0.20000000000000018,1686
IDP50,rep1,0.20000000000000018,0.25,1589
IDP50,rep1,0.25,0.30000000000000004,1575
IDP50,rep1,0.30000000000000004,0.3500000000000001,1621
IDP50,rep1,0.3500000000000001,0.40000000000000013,1549
IDP50,rep1,0.40000000000000013,0.4500000000000002,1540
IDP50,rep1,0.4500000000000002,0.5,1604
IDP50,rep1,0.5,0.55,1555
IDP50,rep1,0.55,0.6000000000000001,1506
IDP50,rep1,0.6000000000000001,0.6500000000000001,1517
IDP50,rep1,0.6500000000000001,0.7000000000000002,1543
IDP50,rep1,0.7000000000000002,0.75,1447
IDP50,rep1,0.75,0.8,1466
IDP50,rep1,0.8,0.8500000000000001,1471
IDP50,rep1,0.8500000000000001,0.9000000000000001,1360
IDP50,rep1,0.9000000000000001,0.9500000000000002,1452
IDP50,rep1,0.9500000000000002,1.0,1384
IDP50,rep2,-1.0,-0.95,1469
IDP50,rep2,-0.95,-0.9,1571
IDP50,rep2,-0.9,-0.85,1733
IDP50,rep2,-0.85,-0.8,1725
IDP50,rep2,-0.8,-0.75,1704
IDP50,rep2,-0.75,-0.7,1710
IDP50,rep2,-0.7,-0.6499999999999999,1698
IDP50,rep2,-0.6499999999999999,-0.6,1684
IDP50,rep2,-0.6,-0.55,1754
IDP50,rep2,-0.55,-0.5,1770
IDP50,rep2,-0.5,-0.44999999999999996,1771
IDP50,rep2,-0.44999999999999996,-0.3999999999999999,1627
IDP50,rep2,-0.3999999999999999,-0.35,1715
IDP50,rep2,-0.35,-0.29999999999999993,1726
IDP50,rep2,-0.29999999999999993,-0.25,1692
IDP50,rep2,-0.25,-0.19999999999999996,1692
IDP50,rep2,-0.19999999999999996,-0.1499999999999999,1759
IDP50,rep2,-0.1499999999999999,-0.09999999999999998,1734
IDP50,rep2,-0.09999999999999998,-0.04999999999999993,1784
IDP50,rep2,-0.04999999999999993,0.0,1657
IDP50,rep2,0.0,0.050000000000000044,1753
IDP50,rep2,0.050000000000000044,0.10000000000000009,1734
IDP50,rep2,0.10000000000000009,0.15000000000000013,1786
IDP50,rep2,0.15000000000000013,0.20000000000000018,1710
IDP50,rep2,0.20000000000000018,0.25,1687
IDP50,rep2,0.25,0.30000000000000004,1726
IDP50,rep2,0.30000000000000004,0.3500000000000001,1687
IDP50,rep2,0.3500000000000001,0.40000000000000013,1711
IDP50,rep2,0.40000000000000013,0.4500000000000002,1672
IDP50,rep2,0.4500000000000002,0.5,1635
IDP50,rep2,0.5,0.55,1573
IDP50,rep2,0.55,0.6000000000000001,1636
IDP50,rep2,0.6000000000000001,0.6500000000000001,1694
IDP50,rep2,0.6500000000000001,0.7000000000000002,1607
IDP50,rep2,0.7000000000000002,0.75,1618
IDP50,rep2,0.75,0.8,1575
IDP50,rep2,0.8,0.8500000000000001,1546
IDP50,rep2,0.8500000000000001,0.9000000000000001,1571
IDP50,rep2,0.9000000000000001,0.9500000000000002,1471
IDP50,rep2,0.9500000000000002,1.0,1427
IDP50,rep3,-1.0,-0.95,1440
IDP50,rep3,-0.95,-0.9,1439
IDP50,rep3,-0.9,-0.85,1444
IDP50,rep3,-0.85,-0.8,1472
IDP50,rep3,-0.8,-0.75,1483
IDP50,rep3,-0.75,-0.7,1558
IDP50,rep3,-0.7,-0.6499999999999999,1586
IDP50,rep3,-0.6499999999999999,-0.6,1514
IDP50,rep3,-0.6,-0.55,1486
IDP50,rep3,-0.55,-0.5,1575
IDP50,rep3,-0.5,-0.44999999999999996,1573
IDP50,rep3,-0.44999999999999996,-0.3999999999999999,1510
IDP50,rep3,-0.3999999999999999,-0.35,1619
IDP50,rep3,-0.35,-0.29999999999999993,1493
IDP50,rep3,-0.29999999999999993,-0.25,1495
IDP50,rep3,-0.25,-0.19999999999999996,1472
IDP50,rep3,-0.19999999999999996,-0.1499999999999999,1521
