dataset,replicate,cluster_size_bin,n_pairs,n_aligned,n_antiparallel,n_parallel,aligned_fraction_pct,antiparallel_share_pct,anti_diagonal_mean,parallel_diagonal_mean,anti_diagonal_preference_pct
Hel50,rep1,2-5,199,127,31,96,63.81909547738694,24.409448818897637,0.007032304166104066,0.011788456217843137,-40.34584311845776
Hel50,rep1,6-10,121,90,36,54,74.3801652892562,40.0,0.011717769998632437,0.009476916071746446,23.645391706766873
Hel50,rep1,11-20,1787,1307,751,556,73.13933967543369,57.45983167559296,0.017600016423866424,0.010524351996442572,67.23135476479274
Hel50,rep1,21-35,767,583,422,161,76.01043024771839,72.38421955403088,0.019624836277011486,0.011642319816902235,68.56465537495622
Hel50,rep1,36-50,51640,30076,18705,11371,58.24167312161116,62.192445803963295,0.011608709049176488,0.0098718939139409,17.59353524639169
Hel50,rep1,all,54514,32183,19945,12238,59.0362108816084,61.97371282975484,0.01190142885813323,0.00992431095984788,19.921966434591187
Hel50,rep2,2-5,193,150,37,113,77.72020725388602,24.666666666666668,0.00903307151725765,0.01451567218904613,-37.77021553246277
Hel50,rep2,6-10,2705,1668,802,866,61.66358595194085,48.08153477218225,0.010199107672665813,0.010250099698513683,-0.4974783401888727
Hel50,rep2,11-20,427,307,136,171,71.89695550351288,44.299674267100976,0.011060943163784353,0.00958932607898429,15.346407794237171
Hel50,rep2,21-35,932,595,250,345,63.8412017167382,42.016806722689076,0.012693845539752767,0.010391250191347087,22.15898285581728
Hel50,rep2,36-50,46351,26377,14065,12312,56.90707859593105,53.322970769989006,0.008669392422628174,0.010073498785570806,-13.938616490964018
Hel50,rep2,all,50608,29097,15290,13807,57.494862472336386,52.548372684469186,0.008846835757441801,0.010101645471882302,-12.421834818230703
Hel50,rep3,2-5,384,262,145,117,68.22916666666667,55.343511450381676,0.019642608699222453,0.01197647246938969,64.0099682892973
Hel50,rep3,6-10,763,395,198,197,51.76933158584535,50.12658227848101,0.00423797985770174,0.014548315180261623,-70.8696175110943
Hel50,rep3,11-20,116,89,53,36,76.72413793103448,59.550561797752806,0.014910934637404534,0.014180215024385802,5.153092613631816
Hel50,rep3,21-35,5346,3689,1698,1991,69.00486344930789,46.02873407427487,0.00878655682597286,0.01073324157809744,-18.136969506929212
Hel50,rep3,36-50,42801,22128,11972,10156,51.69972664190089,54.10339840925524,0.014203034283813958,0.01181292220357973,20.233029889166133
Hel50,rep3,all,49410,26563,14066,12497,53.76037239425217,52.953356172119115,0.01350704335080016,0.0117451735997882,15.00079786852815
IDP50,rep1,2-5,562,301,147,154,53.55871886120996,48.83720930232558,0.006827534110538909,0.00923655175601943,-26.081352750614663
IDP50,rep1,6-10,175,96,59,37,54.857142857142854,61.458333333333336,0.006683418816424509,0.008723951831071396,-23.390007810213774
IDP50,rep1,11-20,1350,673,357,316,49.851851851851855,53.04606240713225,0.0069034463696005495,0.00813242785891811,-15.112110560806824
IDP50,rep1,21-35,1291,668,347,321,51.7428350116189,51.946107784431135,0.0072040980084546674,0.009201229239142588,-21.70504808414079
IDP50,rep1,36-50,59799,29042,15169,13873,48.56602953226643,52.231251291233384,0.007350841355518315,0.007735520153369507,-4.9728885740622175
IDP50,rep1,all,63177,30780,16079,14701,48.72026212070848,52.23846653671215,0.007331778618951739,0.007790043336434679,-5.882697922097524
IDP50,rep2,2-5,153,77,50,27,50.326797385620914,64.93506493506493,0.008058061376018508,0.00871961360054311,-7.586944271055729
IDP50,rep2,6-10,865,457,249,208,52.83236994219653,54.48577680525164,0.007050985385065243,0.006734208215453976,4.704000225064497
IDP50,rep2,11-20,2721,1293,602,691,47.519294377067254,46.5583913379737,0.006800282155916702,0.007589498831391311,-10.398798300228862
IDP50,rep2,21-35,2713,1249,618,631,46.037596756358276,49.47958366693355,0.00805607115384499,0.008606361618344341,-6.393996544677072
IDP50,rep2,36-50,60342,29460,15299,14161,48.82171621755991,51.93143245078072,0.007142158849235045,0.00787721839825904,-9.331460826152194
IDP50,rep2,all,66794,32536,16818,15718,48.7109620624607,51.69043521022867,0.007166269781953229,0.007882240754645354,-9.083343112428677
IDP50,rep3,2-5,504,255,135,120,50.595238095238095,52.94117647058823,0.007412065524893669,0.008495955624650353,-12.757718467971536
IDP50,rep3,6-10,2617,1320,684,636,50.439434466946885,51.81818181818182,0.007494666973456829,0.008317509931060174,-9.892900212004474
IDP50,rep3,11-20,627,304,164,140,48.484848484848484,53.94736842105263,0.006886796174380726,0.006396393605104956,7.666860414662091
IDP50,rep3,21-35,7419,3645,1880,1765,49.130610594419736,51.57750342935528,0.00750230806001133,0.007960506468286398,-5.755895182052417
IDP50,rep3,36-50,48457,23728,12134,11594,48.967125492704874,51.13789615643965,0.007504252989756339,0.007796214479966016,-3.7449135212984763
IDP50,rep3,all,59624,29252,14997,14255,49.06078089359989,51.2682893477369,0.007496317863901581,0.007830732363792045,-4.270539259351258
